Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
BANK MILL HOUSE,CLEANING OF BUILDINGS,CLEANING - AUGUST 17,B000018982/50873,SERVICEMASTER,02/08/17,251.15
FACILITIES TEAM,AGENCY STAFF,TEMP STAFF W/E 23.7.17,B000018982/55150,VENN GROUP LIMITED,02/08/17,871.00
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF W/E 23.7.17,B000018982/46341,MORGAN HUNT UK LTD,02/08/17,914.64
FACILITIES TEAM,AGENCY STAFF,TEMP STAFF W/E 9.7.17,B000018982/55150,VENN GROUP LIMITED,02/08/17,942.00
FACILITIES TEAM,AGENCY STAFF,TEMP STAFF W/E 2.7.17,B000018982/55150,VENN GROUP LIMITED,02/08/17,960.50
PROPOSED SELEC LICENSING 2017,LEGAL FEES,COUNSELS FEES,B000018982/59004,MR LEO CHARALAMBIDES,02/08/17,1500.00
Corporate Property Bus Unit,PUBLICATIONS & PERIODICALS,JOB ADVERTS - JULY ,B000018982/56543,REED BUSINESS INFORMATION LTD,02/08/17,1931.00
GYPSY SITE,SEWERAGE,CLEAR BLOCKAGES - 27/28.7.17,B000018985/1248,DUNCAN CAMPBELL,04/08/17,300.00
PUBLIC TRANSPORT,MAINTENANCE,GLASS PANEL,B000018985/59697,AUTOCROSS EUROSHEL LTD,04/08/17,380.00
GREEN WASTE COLLECTION,AGENCY STAFF,TEMP STAFF W/E 17.7.17,B000018985/59887,WORKFORCE RECRUITMENT (NW) LTD,04/08/17,776.25
STREET CLEANSING,AGENCY STAFF,TEMP STAFF W/C 24.7.17,B000018985/59887,WORKFORCE RECRUITMENT (NW) LTD,04/08/17,822.94
CUSTOMER SERVICES,BLACKBURN WITH DARWEN SERVICES,TEMP STAFF W/E 30.7.17,B000018986/35067,MORGAN HUNT PUBLIC SECTOR LIMITED,04/08/17,914.64
ACC TOWN CENTRE,EVENT EXPENDITURE,TRAFFIC MGT 5.3.17,B000018985/34881,KAYS TRAFFIC MANAGEMENT SYSTEMS LTD,04/08/17,2280.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000018987/7874,STANNAH LIFT SERVICES LIMITED,04/08/17,2899.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000018987/7874,STANNAH LIFT SERVICES LIMITED,04/08/17,3116.00
ACCRINGTON MARKET,YARD CLEANING,SKIP HIRE - JULY 17,B000018985/59730,BLACKBURN SKIPS LIMITED,04/08/17,3510.00
WILLOWS LANE DEPOT,CLEANING MATERIALS,RELOCATE PHOTOCOPIER FROM UPPE,B000018990/59921,SHARP BUSINESS SYSTEMS UK PLC,07/08/17,257.50
WILLOWS LANE DEPOT,DEPOT COSTS,WARNING SIGNS,B000018989/1866,HITCHENS ENGRAVERS LTD,07/08/17,264.00
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,REMOVE LARGE FALLEN BRANCH FRO,B000018990/22189,ROY CATTERMOLE (TREE SURGEON),07/08/17,350.00
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF W/E 23/07/2017,B000018989/19414,HEADS RECRUITMENT LIMITED,07/08/17,387.27
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY STAFF W/E 09/07/2017,B000018989/19414,HEADS RECRUITMENT LIMITED,07/08/17,387.27
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF W/E 23/07/2017,B000018989/19414,HEADS RECRUITMENT LIMITED,07/08/17,387.27
TIPPING CHARGES,HIRED VEHICLE,HIRE OF WHEEL WAGON 17/07/2017,B000018989/9294,STANLEY BROTHERS (TIPPERS) LTD,07/08/17,390.00
PARKS & OPEN SPACES,HIRED VEHICLE,TRACTOR WITH FLAIL AND DRIVER ,B000018990/59919,P & C DICKSON FARMING LIMTED,07/08/17,400.00
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF W/E 23/07/2017,B000018989/19414,HEADS RECRUITMENT LIMITED,07/08/17,425.49
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY STAFF W/E 09.07.2017,B000018989/19414,HEADS RECRUITMENT LIMITED,07/08/17,425.49
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF W/E 23/07/2017,B000018989/19414,HEADS RECRUITMENT LIMITED,07/08/17,470.81
PEST CONTROL,OTHER LICENCES,TEMP STAFF W/E 09/07/2017,B000018989/58023,BUCKINGHAM FUTURES LTD,07/08/17,568.83
STREET CLEANSING,PRIVATE CONTRACTORS WORK,TRAFFIC MANAGEMENT FOR DUNKENH,B000018990/34881,KAYS TRAFFIC MANAGEMENT SYSTEMS LTD,07/08/17,598.00
TIPPING CHARGES,HIRED VEHICLE,HIRE OF WHEEL WAGON 07.07.2017,B000018989/9294,STANLEY BROTHERS (TIPPERS) LTD,07/08/17,780.00
STREET CLEANSING,TRAFFIC MANAGEMENT,TRAFFIC MANAGEMENT @ JUNCTION ,B000018990/34881,KAYS TRAFFIC MANAGEMENT SYSTEMS LTD,07/08/17,825.00
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF W/E 23/07/2017,B000018989/19414,HEADS RECRUITMENT LIMITED,07/08/17,850.98
STREET CLEANSING,WEEDKILLING,WEED CONTROL BY CHEMICAL APPLI,B000018990/42709,RM SERVICES LTD,07/08/17,925.00
STREET CLEANSING,HIRED VEHICLE,YE6VLS IVECO CREW CAB REF - 50,B000018989/38664,LEEDS COMMERCIAL LTD,07/08/17,1100.00
STREET CLEANSING,PRIVATE CONTRACTORS WORK,GRASS CUTTING @ JUNCTION 6 WHI,B000018990/34881,KAYS TRAFFIC MANAGEMENT SYSTEMS LTD,07/08/17,1500.00
STREET CLEANSING,MECH SWEEPER BRUSHES,POLY/WIRE BRUSHES FOR SCHMIDT ,B000018990/54115,PROBRUSH,07/08/17,1574.20
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF W/E 23/07/2017,B000018989/55740,RAPID RECRUITMENT LTD,07/08/17,2686.20
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF W/E 28/07/2017,B000018989/55740,RAPID RECRUITMENT LTD,07/08/17,3225.85
RHYDDINGS PARK LOTTERY,MISCELLANEOUS,AND REFURBISHMENT TO THE FOLLY,B000018990/49892,KEN HOWE NATURAL STONE SUPPLIES,07/08/17,3800.00
STREET CLEANSING,WEEDKILLING,WEED CONTROL BY CHEMICAL APPLI,B000018990/42709,RM SERVICES LTD,07/08/17,13726.00
