Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
REGISTRATION OF ELECTORS,AGENCY STAFF,1ST QTR PAYMENT,B000019750/45531,BOROUGH OF PENDLE,01/03/2019,5947.01
REGISTRATION OF ELECTORS,AGENCY STAFF,JULY - SEPT 18 - LAND CHARGES,B000019866/45531,BOROUGH OF PENDLE,01/03/2019,5947.96
MERCER PARK,CONTRACTOR OTHER,MOVE THE BASKET SWING IN MERCER PARK ,B000019993/24552,PLAY & LEISURE LTD,01/03/2019,3381.00
ACC TOWN HALL,GAS,TOWN HALL - 9.1.19-31.1.19,B000020035/35310,SWALEC,01/03/2019,2182.41
BUILDING CONTROL B.U.,AGENCY STAFF,STAFF JAN 2019,B000020036/55748,URBAN VISION PARTNERSHIP LTD,01/03/2019,1413.35
ACCRINGTON CREMATORIUM,PRINTING,CEMETERY CREMATORIUM FORMS,B000020040/1110,DALTON & CO (PRINTERS) LTD,05/03/2019,332.00
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,"FALLEN TREE ON CLIFFE LANE, GT HARWOOD FEB 18 RE STREET LIGHTING COLUMN",B000020040/2496,LANCASHIRE COUNTY COUNCIL,05/03/2019,393.23
HEALTH FOOD & SAFETY,AGENCY STAFF,AGENCY STAFF ,B000020040/58023,BUCKINGHAM FUTURES LTD,05/03/2019,793.00
LEGAL SERVICES,PUBLICATIONS & PERIODICALS,CROSS LOCAL GOV LAW LL R76,B000020041/50652,THOMSON REUTERS PROFESSIONAL UK LTD,06/03/2019,401.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000020041/52883,POLLOCK LIFTS,06/03/2019,10445.00
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,AGENCY STAFF,B000020041/55150,VENN GROUP LIMITED,06/03/2019,287.30
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,AGENCY STAFF ,B000020041/55150,VENN GROUP LIMITED,06/03/2019,735.80
