Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
HYNDBURN CEMETERIES,SEWERAGE,WASTE WATER CEMETERY GATES 20.08.18 TO 22.11.18 ,B000019885/8325,WATER PLUS LTD,04/12/2018,261.59
ACC TOWN CENTRE,CIVIC SUNDAY EXPENSES,50% FEE FOR FLASH MOB EVENT,B000019885/47786,HYNDBURN ARTS LIMITED,04/12/2018,291.67
ACC TOWN CENTRE,CIVIC SUNDAY EXPENSES,50% OF £720 GRANT FOR HISTORY WALKS,B000019885/47786,HYNDBURN ARTS LIMITED,04/12/2018,300.00
PARKS & OPEN SPACES,AGENCY STAFF, AGENCY STAFF WK 25.11.18  ,B000019885/19414,HEADS RECRUITMENT LIMITED,04/12/2018,330.44
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF 25.11.18 ,B000019885/19414,HEADS RECRUITMENT LIMITED,04/12/2018,367.61
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF  WK 18.11.18 ,B000019885/19414,HEADS RECRUITMENT LIMITED,04/12/2018,455.13
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY STAFF WK 18.11.18 ,B000019885/19414,HEADS RECRUITMENT LIMITED,04/12/2018,455.13
ACC TOWN CENTRE,CIVIC SUNDAY EXPENSES,CIVIC LUNCH 10.11.18 ,B000019885/9901,ACCRINGTON & ROSSENDALE COLLEGE,04/12/2018,500.00
ACC TOWN CENTRE,CIVIC SUNDAY EXPENSES,50% OF £2200 GRANT FOR CULTURE AND HERITAGE EVENT,B000019885/47786,HYNDBURN ARTS LIMITED,04/12/2018,916.67
WASTE SERVICES,AGENCY STAFF,AGENCY STAFF  19.11.18 - 25.11.18,B000019885/55740,RAPID RECRUITMENT LTD,04/12/2018,2657.12
ACC TOWN CENTRE,CIVIC SUNDAY EXPENSES,50% OF GRANT FOR CHRISTMAS LIGHTS SWITCH ON,B000019885/47786,HYNDBURN ARTS LIMITED,04/12/2018,5833.33
PARKS & OPEN SPACES,GRASS CUTTING CONTRACT,GRASS CUTTING AS PER CONTRACT - FINAL PAYMENT,B000019885/57700,MASTER GROUND SERVICES,04/12/2018,11547.00
