Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
DEVELOPMENT CONTROL B.U.,SUBSIDISED PROFESSIONAL SUBS,SUBS 17,B000018641/8757,THE ROYAL TOWN PLANNING INSTITUTE,06/02/2017,270.66
VEHICLE MAINT SUPERVISION,MATERIALS-STOCK ISSUES,ANTI ROLL BAR DROP LINKS,B000018638/1918,HYDRAIR,06/02/2017,281.12
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,SPRING BRAKE,B000018638/1918,HYDRAIR,06/02/2017,296.11
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY STAFF,B000018642/19414,HEADS RECRUITMENT LIMITED,06/02/2017,343.35
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY STAFF,B000018642/19414,HEADS RECRUITMENT LIMITED,06/02/2017,343.35
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF,B000018642/19414,HEADS RECRUITMENT LIMITED,06/02/2017,403.30
DEVELOPMENT CONTROL B.U.,ADVERTISING GENERAL,ADVERT 27.1.17,B000018641/55711,TRINITY MIRROR PUBLISHING LTD,06/02/2017,561.60
ENVIRONMENTAL PROTECTION TEAM,WORK IN DEFAULT,CLEAR RUBBISH FROM YARD,B000018641/1248,DUNCAN CAMPBELL,06/02/2017,680.00
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,FRONT BUMPER/WING ETC,B000018638/1164,DENNIS EAGLE LIMITED,06/02/2017,681.66
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF,B000018642/19414,HEADS RECRUITMENT LIMITED,06/02/2017,686.70
MAINT. OF H'WAYS & CYCLEWAYS,WORK DONE DLO-HIGHWAYS,BOREHOLES,B000018640/13929,WORMS EYE GEOTECHNICAL,06/02/2017,900.00
FACILITIES TEAM,AGENCY STAFF,TEMP STAFF W/E 29.1.17,B000018641/55150,VENN GROUP LIMITED,06/02/2017,907.25
HEALTH OFFICERS,AGENCY STAFF,AGENCY STAFF,B000018642/58023,BUCKINGHAM FUTURES LTD,06/02/2017,937.50
RECYCLING COLLECTION,HIRED VEHICLE,HIRED CAGE VEHICLE,B000018642/59406,LEEDS COMMERCIAL LTD,06/02/2017,1100.00
REGISTRATION OF ELECTORS,RENTAL & MAINT SOFTWARE MISC,ANNUAL SUPPORT,B000018641/46684,HALAROSE LIMITED,06/02/2017,14598.73
