Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
UNDERSPENDS,RISK ASSESSMENTS,RISK ASSESMENT - MARKET HALL,B000019493/57133,INTERSERVE FS (UK) LTD,02/05/18,350.00
CUSTOMER SERVICES,AGENCY STAFF,AGENCY STAFF,B000019493/46341,MORGAN HUNT UK LTD,02/05/18,381.90
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,CLAMP SPRING,B000019496/8014,TERBERG MATTEC UK LTD,02/05/18,395.60
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,AGENCY STAFF ,B000019493/33923,EDEN BROWN LTD,02/05/18,409.50
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,AGENCY STAFF ,B000019493/33923,EDEN BROWN LTD,02/05/18,422.50
PARKS & OPEN SPACES,EQUIPMNT REPAIR & MAINT,NUTS SPRINGS ETC,B000019496/442,BALMERS GARDEN MACHINERY,02/05/18,486.54
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,LOWER COVERS,B000019496/7317,Q P S PLASTICS,02/05/18,489.75
LOCAL SUPPORT SCHEME,PRINTING,ACS LTD - CRS SCHEME SUPPORT,B000019493/54638,ACS LTD,02/05/18,500.00
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,SKIDS,B000019496/7688,AEBI SCHMIDT UK LTD,02/05/18,523.15
AFFORDABLE WARMTH GRANT,CONTRACTOR OTHER,GRANT WORK,B000019493/35745,AGS HEATING & PLUMBING LTD,02/05/18,645.00
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,AGENCY STAFF ,B000019493/55150,VENN GROUP LIMITED,02/05/18,889.20
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,CYLINDER COVERS,B000019496/60483,WASTEPARTS UK LTD,02/05/18,1025.00
STRATEGIC HOUSING DEPARTMENT,FEES-ANALYSTS & CONSULTANTS,TRAFFIC SURVEY HUNCOAT,B000019493/60484,TRACSIS,02/05/18,3995.00
HAWORTH ART GALLERY,EQUIPMENT-RESALE,GOODS FOR RE-SALE IN SHOP,B000019501/17125,OMICWAYS LTD,04/05/18,267.87
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,WINDSCREEN,B000019500/38986,LANCASHIRE WINDSCREENS LIMITED,04/05/18,275.00
HUMAN RESOURCES,TRAINING EXPENSES,TRAINING - PEST CONTROL,B000019499/2419,KILLGERM CHEMICALS LTD,04/05/18,440.00
HUMAN RESOURCES,TRAINING EXPENSES,LICENSING TRAINING ,B000019499/47283,INSTITUTE OF LICENSING,04/05/18,473.00
ENVIRONMENTAL PROTECTION TEAM,WORK IN DEFAULT,SECURE OPENINGS- NATURE RESERVE,B000019499/1248,DUNCAN CAMPBELL,04/05/18,480.00
HUMAN RESOURCES,GENERAL SUBSCRIPTIONS,DCN ANNUAL MEMBERSHIP FEE 2018/19,B000019501/49172,DISTRICT COUNCILS NETWORK,04/05/18,500.00
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF W/E 29.4.18,B000019499/46341,MORGAN HUNT UK LTD,04/05/18,891.10
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF W/E 29.4.18,B000019499/46341,MORGAN HUNT UK LTD,04/05/18,942.02
HOUSING BENEFIT ADMINISTRATION,LICENCES- OPERATORS,AGENCY FEES,B000019501/46341,MORGAN HUNT UK LTD,04/05/18,1067.08
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,TYRES,B000019500/29877,ROSSENDALE VULCANISING (SALES LTD),04/05/18,2993.00
CORP & DEM CORE,GENERAL SUBSCRIPTIONS,SUBS 18/19,B000019499/58090,NORTH WEST EMPLOYERS,04/05/18,4281.81
MUNICIPAL ELECTIONS,HIRE OF POLLING STATIONS,ELECTION 18,B000019503/9241,PEEL PARK PRIMARY SCHOOL,09/05/18,300.00
LAND CHARGES,LAND CHARGES,LLC SEARCHES,B000019504/2496,LANCASHIRE COUNTY COUNCIL,09/05/18,324.00
WOODNOOK STRATEGIC ACQUISITION,SECURING PREMISES,CLEAR RUBBISH,B000019504/48843,CLEARWAY ENV SERVICES (UK) LTD,09/05/18,420.00
HAWORTH ART GALLERY,LICENSING PLACES OF ENTERTMT,PRS LICENCE ROYALTIES,B000019505/60557,PPL PRS LTD,09/05/18,420.10
WOODNOOK STRATEGIC ACQUISITION,SECURING PREMISES,CLEAR RUBBISH,B000019504/48843,CLEARWAY ENV SERVICES (UK) LTD,09/05/18,480.00
