Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF W/E 24.3.19,B000020096/46341,MORGAN HUNT UK LTD,03/04/2019,381.90
HOUSING BENEFIT ADMINISTRATION,COMPUTER RENTAL & MAINT,ANNUAL SOFTWARE LICENCE,B000020095/35967,NORTHGATE PUBLIC SERVICES (UK) LTD,03/04/2019,400.00
HOUSING ADVICE,RENT DEPOSIT SCHEME,RENT DEPOSIT,B000020095/61195,H2 HOMES,03/04/2019,400.00
GENERAL EXPENSES,CABINET ACTION FUND,WAR MEMORIAL ENGRAVING,B000020096/61538,STEVENSON MEMORIALS,03/04/2019,412.50
LAND CHARGES,LAND CHARGES,LOCAL LAND CHARGE SEARCHES,B000020098/2496,LANCASHIRE COUNTY COUNCIL,03/04/2019,438.00
MARKETS - OPERATIONS,GENERAL REPAIR & MAINT BLDGS,ELECTRIC SUPPLY FOR CCTV,B000020096/27030,LIGHTING AND BUILDING SERVICES LTD,03/04/2019,475.00
HOUSING BENEFIT ADMINISTRATION,COMPUTER RENTAL & MAINT,COUNDIL REDUCTION SCHEME SUPPORT,B000020096/54638,ACS LTD,03/04/2019,500.00
CUSTOMER SERVICES,TRAINING EXPENSES,EXT TRAINING FEE,B000020098/46443,HBINFO LTD,03/04/2019,540.00
LOCAL TAXATION,LEGAL FEES,COSTS,B000020095/27972,ROSSENDALES,03/04/2019,620.00
HOUSING BENEFIT ADMINISTRATION,COMPUTER RENTAL & MAINT,ANNUAL SOFTWARE SUPPORT 10 LICENCES,B000020095/35967,NORTHGATE PUBLIC SERVICES (UK) LTD,03/04/2019,657.79
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 24.3.19,B000020096/55150,VENN GROUP LIMITED,03/04/2019,759.20
FACILITIES TEAM,AGENCY STAFF,STAFF  22.3.19,B000020098/59823,HAYS,03/04/2019,777.44
DEV CONTROL,FEES-ANALYSTS & CONSULTANTS,LANDSCAPE ADVICE ,B000020095/61536,PENNY PRICE,03/04/2019,875.00
