Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
CORPORATE PROPERTY,ASSET MAINT R&M,"CANNON STREET, ACC SURVEY",B000019613/59301,CONSULTANTS & SPEC SURVEYORS LTD,04/07/2018,450.00
LEISURE IN HYNDBURN,LIH R&M,BALLROOM BATTERY FIRE ALARM REPLACEMENT,B000019615/24998,BELLIT SECURITY LIMITED,04/07/2018,494.98
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000019615/21792,H & M BUILDING & JOINERY LTD,04/07/2018,710.00
Corporate Property Bus Unit,AGENCY STAFF,TEMP STAFF W/E 25.6.18,B000019614/58852,OYSTER PARTNERSHIP,04/07/2018,852.39
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 24.6.18,B000019614/55150,VENN GROUP LIMITED,04/07/2018,885.30
FACILITIES TEAM,AGENCY STAFF,TEMP STAFF W/E 22.6.18,B000019614/59823,HAYS,04/07/2018,896.00
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF W/E 24.6.18,B000019614/46341,MORGAN HUNT UK LTD,04/07/2018,942.02
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,AGENCY STAFF ,B000019615/33923,EDEN BROWN LTD,04/07/2018,1003.28
ACCRINGTON CREMATORIUM,ASSET MAINT R&M,Accrington Crem remedial works ,B000019613/60080,BEST,04/07/2018,1151.00
DEVELOPMENT,AGENCY STAFF,TEMP STAFF W/E 22.6.18,B000019614/59823,HAYS,04/07/2018,1208.71
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000019613/7874,STANNAH LIFT SERVICES LIMITED,04/07/2018,1334.00
HAG EXTERNAL WORKS,CONTRACTOR OTHER,HAWORTH ART GALLERY - EXT WORKS,B000019615/37017,PILKINGTON BROS (CHURCH) LTD,04/07/2018,1670.25
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000019613/7874,STANNAH LIFT SERVICES LIMITED,04/07/2018,3067.00
COMMUNITY SAFETY PARTNERSHIP,CRIME & DISORDER INITIATIVES,PCC FUNDING - HARV POSITIVE ACTIVITIES AND YOUTH,B000019615/35258,HARV DOMESTIC VIOLENCE TEAM,04/07/2018,3079.00
TOWNSCAPE HERITAGE INITIATIVE,CONTRACTOR OTHER,ACC THI - PAYMENT 3,B000019614/2496,LANCASHIRE COUNTY COUNCIL,04/07/2018,201113.00
HYNDBURN CEMETERIES,SECURITY SYSTEM MAINTENANCE,CEMETERY PHONE LINE SERVICE CHARGES,B000019618/35290,LOGICALTELECOM,06/07/2018,262.50
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF WK 03.06.18 ,B000019618/19414,HEADS RECRUITMENT LIMITED,06/07/2018,355.94
TIPPING CHARGES,HIRED VEHICLE,TIPPING COSTS FOR WILLOWS LANE BAYS 18.06.18 VEHICLE HIRE,B000019618/7871,STANLEY BROS TIPPERS LTD,06/07/2018,390.00
TIPPING CHARGES,HIRED VEHICLE,HIRE OF TIPPER FOR WILLOWS LANE BAYS 25.06.18,B000019618/7871,STANLEY BROS TIPPERS LTD,06/07/2018,390.00
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF  WK 03.06.18 ,B000019618/19414,HEADS RECRUITMENT LIMITED,06/07/2018,413.82
ACCRINGTON CREMATORIUM,URNS & CASKETS,SAND BOX ALL WEATHER HYDRAULIC FLUID,B000019617/27901,TELESHORE (UK) LTD,06/07/2018,440.52
