Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
ELMFIELD HALL FLATS,GENERAL REPAIR & MAINT BLDGS,ELMFIELD HALL,B000019982/44845,KEYPLUS SECURITY LTD,06/02/2019,260.00
LOCAL TAXATION,OFFICE CONSUMABLES,END OF YEAR WEBINAR,B000019983/29197,CAPITA BUSINESS SERVICES LTD,06/02/2019,300.00
LOCAL TAXATION,OFFICE CONSUMABLES,CTAX WEBINAR,B000019984/783,CAPITA BUSINESS SERVICES LTD,06/02/2019,300.00
HOUSING BENEFIT ADMINISTRATION,OFFICE CONSUMABLES,END OF YEAR SEMINARS,B000019984/783,CAPITA BUSINESS SERVICES LTD,06/02/2019,300.00
LOCAL TAXATION,LEGAL FEES,COMMISSION ON MONIES COLLECTED,B000019982/27972,ROSSENDALES,06/02/2019,310.00
HOUSING BENEFIT ADMINISTRATION,COMPUTER RENTAL & MAINT,HB INFO SUBS,B000019982/46443,HBINFO LTD,06/02/2019,425.00
ACCOUNTANCY,EQUIPMNT REPAIR & MAINT, HP Probook 450 G5 I5-820,B000019983/52932,INSIGHT DIRECT (UK) LTD,06/02/2019,515.00
ELMFIELD HALL FLATS,GENERAL REPAIR & MAINT BLDGS,ELMFIELD HALL MONITORING FIRE ALARM,B000019984/61283,EMERGENCY SYSTEMS LTD,06/02/2019,774.00
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,AGENCY STAFF,B000019982/33923,EDEN BROWN LTD,06/02/2019,873.60
CUSTOMER SERVICES,AGENCY STAFF,AGENCY STAFF,B000019982/46341,MORGAN HUNT UK LTD,06/02/2019,903.83
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,AGENCY STAFF,B000019984/33923,EDEN BROWN LTD,06/02/2019,907.73
HOUSING BENEFIT ADMINISTRATION,FEES-ANALYSTS & CONSULTANTS,CIPFA REVS AND BENS SERVICE,B000019984/44171,CIPFA BUSINES LIMITED,06/02/2019,1100.00
LOCAL TAXATION,OFFICE CONSUMABLES,END OF YEAR INSERT COSTS,B000019982/57679,CRITIQOM,06/02/2019,1180.08
MARKETS - OPERATIONS,YARD CLEANING,WASTE DISP DEC 18,B000019984/59730,BLACKBURN SKIPS LIMITED,06/02/2019,1755.00
MARKETS - OPERATIONS,YARD CLEANING,WASTE DISP JAN 19,B000019984/59730,BLACKBURN SKIPS LIMITED,06/02/2019,1755.00
HOUSING ADVICE,GRANTS,SERVICE LEVEL AGREEMENT ,B000019982/55099,NIGHTSAFE,06/02/2019,3500.00
LEISURE IN HYNDBURN,ASSET MAINT R&M,MERCER HALL ASBESTOS REMOVAL,B000019982/61265,EMSCAR LTD,06/02/2019,44000.00
STRAT DIRECTOR COMM SERVICES,CONFERENCE EXPENSES,APSE POLICY SEMINAR,B000019992/15595,APSE,11/02/2019,259.00
ACCRINGTON CREMATORIUM,PRINTING,CREMATION FORMS,B000019990/1110,DALTON & CO (PRINTERS) LTD,11/02/2019,267.00
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,TO REMOVE THE REMAINS OF A FALLEN ASH TREE,B000019993/22189,ROY CATTERMOLE (TREE SURGEON),11/02/2019,300.00
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF  WK 11.11.18 ,B000019989/19414,HEADS RECRUITMENT LIMITED,11/02/2019,319.95
CORPORATE PROPERTY,ADVERTISING GENERAL,"20 CANNONS T, ACC",B000019992/26757,TREVOR DAWSON LTD,11/02/2019,380.00
TIPPING CHARGES,HIRED VEHICLE,VEHICLE HIRE FOR WILLOWS LANE SKIP BAYS 18.1.19 REF 375320,B000019989/7871,STANLEY BROS TIPPERS LTD,11/02/2019,390.00
TIPPING CHARGES,HIRED VEHICLE, HIRE OF WAGON 1 DAY,B000019990/9294,STANLEY BROTHERS (TIPPERS) LTD,11/02/2019,390.00
LOCAL TAXATION,OFFICE CONSUMABLES,REVENUES TRAINING,B000019992/61325,ARVATO LTD,11/02/2019,405.00
ACCRINGTON TOWN CENTRE,EVENT EXPENDITURE,50% GRANT FUNDING FOR BRASS BAND EVENT ON 18TH MAY 19,B000019989/47786,HYNDBURN ARTS LIMITED,11/02/2019,425.00
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF W/E 3.2.19,B000019987/46341,MORGAN HUNT UK LTD,11/02/2019,547.39
PENDLE ST PH1,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000019992/61130,KIRK SCAFFOLDING LTD,11/02/2019,617.15
ACCRINGTON TOWN CENTRE,GRANTS,SURVEY OF MARKET STALLS,B000019989/61137,BIG ART AND BANNERS,11/02/2019,650.00
ENVIRONMENTAL PROTECTION TEAM,IMPLEMENTS & TOOLS,AIR QUALITY MONITORING FEB 19 - JAN 20,B000019992/35839,GRADKO INTERNATIONAL LTD,11/02/2019,650.40
STREET SEATS GENERAL,WORK DONE DLO-HIGHWAYS,REPAIRS,B000019992/20,A BYRNE FENCING,11/02/2019,780.00
GENERAL MAINTENANCE,WORK DONE DLO-HIGHWAYS,DRAIN CLEARANCE ,B000019992/54512,CLEAR A DRAIN LTD,11/02/2019,844.38
ACCRINGTON TOWN CENTRE,EVENT EXPENDITURE,50% OF GRANT FOR THEATRE EVENT ON TOWN SQUARE TO BE HELD 14TH JULY 19,B000019989/47786,HYNDBURN ARTS LIMITED,11/02/2019,875.00
LICENSING,MATERIALS-MISC,DBS CHECKS - JAN 19,B000019987/54847,DISCLOSURE & BARRING SERVICE,11/02/2019,924.00
HEALTH FOOD & SAFETY,AGENCY STAFF,AGENCY STAFF -7.1.19 TO 27.1.19,B000019989/58023,BUCKINGHAM FUTURES LTD,11/02/2019,1365.00
SECURITY @ FOXHILL/WHITEASH PL,CONTRACTOR OTHER,SUPPLY AND FIT A 4.2M VEHICLE BARRIER ,B000019993/20,A BYRNE FENCING,11/02/2019,1385.00
RHYDDINGS PARK COACH HSE&GRDN,MISCELLANEOUS,TO CARRY OUT EPC CERTIFICATION FOR RHYDDINGS,B000019993/59579,PETTIT SINGLETON ASSOCIATES,11/02/2019,1560.00
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,THIRD PARTY CONTRIBUTION TO MERCER PARK SKATE PARK PROJECT,B000019989/48279,PROFFITTS CIC,11/02/2019,1650.00
DEV CONTROL,FEES-ANALYSTS & CONSULTANTS,PROFESSIONAL SERVICES,B000019987/59174,KEPPIE MASSIE,11/02/2019,1850.00
GYPSY SITE,RENT AND HIRE OF PREMISES,RENT,B000019992/45458,GLOSSOP CARAVANS LTD,11/02/2019,1920.00
WASTE SERVICES,AGENCY STAFF,AGENCY STAFF W/E 03/02/19,B000019990/55740,RAPID RECRUITMENT LTD,11/02/2019,2022.82
WASTE SERVICES,AGENCY STAFF, AGENCY STAFF WK 21.1.19 TO 27.1.19,B000019989/55740,RAPID RECRUITMENT LTD,11/02/2019,2104.35
ACCRINGTON TOWN CENTRE,CIVIC SUNDAY EXPENSES,50% OF GRANT FOR POP PARTY EVENT ON 27TH MAY 19,B000019989/47786,HYNDBURN ARTS LIMITED,11/02/2019,2145.00
ADMINISTRATION SERVICES,EQUIPMNT REPAIR & MAINT,RENTAL - 7.3.19-6.3.20,B000019987/7231,PITNEY BOWES LTD,11/02/2019,2163.91
PARKS & OPEN SPACES,EQUIPMNT REPAIR & MAINT, 24 INCH VERTICUTTER CASSETTE 2MM,B000019993/1640,GIBSONS GARDEN MACHINERY LTD,11/02/2019,2550.00
CEMETERY AT LEE LANE,CONTRACTOR OTHER,LEE LANE CEM SCHEME,B000019992/8530,WM PYE LTD,11/02/2019,3258.90
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,MOVE THE BASKET SWING IN MERCER PARK B43,B000019993/24552,PLAY & LEISURE LTD,11/02/2019,3381.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000019991/25868,HYNDBURN PLUMBING & HEATING SERVICES,11/02/2019,3870.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000019992/34573,MR R WILCOCK,11/02/2019,5395.00
WHEELED BINS,EQUIPMENT,GREY 240 LTR WHEELED BINS TO HYNDBURN SPEC,B000019993/59653,MGB PLASTICS,11/02/2019,9522.00
ACCRINGTON CREMATORIUM,RELINE CREMATOR,MERCURY ABATED CREM CREDITS 2018,B000019990/57342,SCARBOROUGH BOROUGH COUNCIL,11/02/2019,16410.00
LICENSING,DRIVERS,DVLA CHECKS,B000019999/59795,G B GROUP PLC,13/02/2019,280.00
VEHICLE MAINT SUPERVISION,IMPLEMENTS & TOOLS,FLEET ATTENDANCE,B000019996/29877,ROSSENDALE VULCANISING (SALES LTD),13/02/2019,300.00
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,SEAL PADS,B000019996/7688,AEBI SCHMIDT UK LTD,13/02/2019,337.06
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,BARRIER ARM,B000019996/8014,TERBERG MATTEC UK LTD,13/02/2019,389.61
LICENSING,MISC EXPENSES OTHER,EXPERIAN VEHICLE CHECKS,B000019999/59412,EXPERIAN,13/02/2019,400.00
"DS6846 10 WILFRED ST, ACCRING",GENERAL REPAIR & MAINT BLDGS,DISABLED FACILITIES GRANT,B000019997/57434,MARK HARRISON,13/02/2019,465.00
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,FILTER KIT,B000019996/1164,DENNIS EAGLE LIMITED,13/02/2019,499.55
LAND CHARGES,LAND CHARGES,LLC SEARCHES,B000019997/2496,LANCASHIRE COUNTY COUNCIL,13/02/2019,537.00
DS6854 PEEL ST BAPTIST CHURCH,GENERAL REPAIR & MAINT BLDGS,PEEL ST BAPTIST CHURCH,B000019997/34881,KAYS TRAFFIC MANAGEMENT SYSTEMS LTD,13/02/2019,590.00
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,AGENCY STAFF   - W/E 1.4.18,B000019997/55150,VENN GROUP LIMITED,13/02/2019,666.38
MARKETS - STAFFING,PROTECTIVE CLOTHING,ACC MARKET SIGNS,B000019999/59122,SIGN IT UP,13/02/2019,715.60
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000019998/7874,STANNAH LIFT SERVICES LIMITED,13/02/2019,724.00
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,AGENCY STAFF   ,B000019997/33923,EDEN BROWN LTD,13/02/2019,873.60
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,AGENCY STAFF   W/E 3.2.19,B000019997/55150,VENN GROUP LIMITED,13/02/2019,962.00
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,AGENCY STAFF  - W/E 27.1.19,B000019997/55150,VENN GROUP LIMITED,13/02/2019,962.00
HOUSING BENEFIT ADMINISTRATION,OTHER FEES,UC  PBS CLIENTS CAB,B000019997/905,CITIZENS ADVICE BUREAU,13/02/2019,1323.00
ENVIRONMENTAL PROTECTION TEAM,BURIAL FEES,FUNERAL  ,B000019997/55164,BARTON & HALLWORTH FUNERAL SERVICES,13/02/2019,1549.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000019998/7874,STANNAH LIFT SERVICES LIMITED,13/02/2019,1648.00
SCAITCLIFFE HOUSE,WATER CHARGES,WATER 30.10.18 - 03.02.19 SCAITC,B000019997/8325,WATER PLUS LTD,13/02/2019,2163.71
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,TYRES,B000019996/29877,ROSSENDALE VULCANISING (SALES LTD),13/02/2019,2418.00
INSURANCES,PREMIUMS PAID,GROUP LIFE POLICY 19/20,B000019997/60858,METLIFE,13/02/2019,10412.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000019998/52883,POLLOCK LIFTS,13/02/2019,14469.00
LEISURE IN HYNDBURN,LEISURE TRUST MANAGEMENT FEE,19/20 MINIMUM GRANT  FUNDING,B000019997/29112,HYNDBURN LEISURE,13/02/2019,75000.00
HOUSING BENEFIT ADMINISTRATION,LEGAL FEES,COMMISSION ON MONIES RECEOVERED,B000020002/49780,ROSSENDALES COLLECT LTD,18/02/2019,264.38
HOUSING BENEFIT ADMINISTRATION,LEGAL FEES,COMMISSION ON MONIES RECOVERED,B000020002/49780,ROSSENDALES COLLECT LTD,18/02/2019,264.48
MARKETS - OPERATIONS,RENT AND HIRE OF PREMISES,PEEL ST KIOSK,B000020003/48913,THREADNEEDLE UK PROPERTY TRUST,18/02/2019,271.51
LEISURE IN HYNDBURN,ASSET MAINT R&M,ASBESTOS SURVEY GT HAR CEM,B000020001/59301,CONSULTANTS & SPEC SURVEYORS LTD,18/02/2019,295.00
PARKS & OPEN SPACES,ELECTRICITY,"COMMUNITY HUB FEILDING LANE, ELEC JAN 19",B000020001/59343,EDF ENERGY,18/02/2019,301.15
MUNICIPAL ELECTIONS,HIRE OF POLLING STATIONS,P/S HIRE ELMFIELD HALL HBC19,B000020002/56041,COMMUNITY SOLUTIONS NORTH WEST LTD,18/02/2019,320.00
MUNICIPAL ELECTIONS,HIRE OF POLLING STATIONS,TOILET HIRE FOR HBC 19,B000020002/58892,PORTABLE TOILET COMPANY,18/02/2019,360.00
HOUSING ADVICE,RENT DEPOSIT SCHEME,RENT DEPOSIT,B000020002/61195,H2 HOMES,18/02/2019,390.00
LEISURE IN HYNDBURN,ASSET MAINT R&M,MANAGEMENT SURVEY WEST END COMM CENTRE,B000020001/59301,CONSULTANTS & SPEC SURVEYORS LTD,18/02/2019,525.00
REGISTRATION OF ELECTORS,POSTAGES,RETURN POSTAGE FOR IER,B000020002/51517,ROYAL MAIL GROUP LTD,18/02/2019,626.09
LIBRARY ST DEPOT,ASSET MAINT R&M,CVMU MANAGEMENT SURVEY,B000020001/59301,CONSULTANTS & SPEC SURVEYORS LTD,18/02/2019,650.00
FACILITIES TEAM,AGENCY STAFF,STAFF  WE  1.2.19,B000020003/59823,HAYS,18/02/2019,785.45
FACILITIES TEAM,AGENCY STAFF,STAFF WE 25.01.19,B000020003/59823,HAYS,18/02/2019,786.86
LEISURE IN HYNDBURN,ASSET MAINT R&M,ASBESTOS SURVEY CHURCHFIELD HOUSE,B000020001/59301,CONSULTANTS & SPEC SURVEYORS LTD,18/02/2019,795.00
ACC TOWN HALL,CLEANING OF BUILDINGS,CLEANING SERVICES BROADWAY,B000020002/29112,HYNDBURN LEISURE,18/02/2019,860.54
MUNICIPAL ELECTIONS,STATIONERY,PO SUNDRY BAGS HBC19,B000020002/7735,SHAW & SONS LTD,18/02/2019,874.60
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,AGENCY STAFF,B000020002/33923,EDEN BROWN LTD,18/02/2019,900.90
WOODNOOK STRATEGIC ACQUISITION,SECURING PREMISES,"ROYDS ST, SECURITY JAN 19",B000020001/48843,CLEARWAY ENV SERVICES (UK) LTD,18/02/2019,914.00
CUSTOMER SERVICES,AGENCY STAFF,AGENCY STAFF,B000020002/46341,MORGAN HUNT UK LTD,18/02/2019,929.29
