,,,,,,
Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment Date,Net Amount (£)
Leisure In Hyndburn,Grants-General,LCC WEIGHT MANAGEMENT GRANT APR - JUN 2023,B000024115/29112,Hyndburn Leisure,15 Jun 2023,"17,656.50"
Housing Benefit Administration,Agency Staff,TEMP STAFF WE 04.06.23 ,B000024115/33923,Eden Brown Limited,15 Jun 2023,"1,010.10"
3g Pitch Led Lights,Contractor Other,HYNDBURN LEISURE 3G PITCH VALUATION 5 LED LIGHTS,B000024115/48468,Alliance Leisure Services Limited,15 Jun 2023,"22,572.23"
Environmental Protection,Agency Staff,TEMP STAFF  29.05.23 - 31.05.23 ,B000024115/58023,Buckingham Futures Ltd,15 Jun 2023,552.00
Emergency Works Grant,Contractor Other,EMERGENCY  WORKS,B000024115/68216,Scl Building Services Limited,15 Jun 2023,"1,210.00"
Underspends,Consultants Fees,SALIX LOW CARB SKILLS FUND,B000024115/68462,Rider Levett Bucknall Uk Ltd,15 Jun 2023,"1,700.00"
Wpf Leisure Inv Prog,Other Fees,LEISURE TRANSFORMATION WPF - MERCER HALL EIA,B000024117/68608,Aecom Limited,15 Jun 2023,"4,460.00"
Homes For Ukraine-Thankyou Pay,Misc Expenses Other,REFUGEE WEEK EVENT,B000024077/68555,Hyndburn Green Spaces Forum,20 Jun 2023,300.00
Local Elections,Hire Of Polling Stations,GENERATORS/FLAGS FOR PORTAKABIN,B000024092/27030,Lighting And Building Services Ltd,20 Jun 2023,"1,440.00"
Cvmu,Materials-Direct,FUEL FILTER HEAD,B000024096/1758,Gunn Jcb Ltd,20 Jun 2023,531.35
Willows Lane Depot,Hired Vehicle,EMPTY BAY AT WILLOWS LANE,B000024101/9294,Stanley Brothers (Tippers) Ltd,20 Jun 2023,540.00
Willows Lane Depot,Hired Vehicle,EPMTY BAY AT WILLOWS LANE,B000024101/9294,Stanley Brothers (Tippers) Ltd,20 Jun 2023,270.00
Willows Lane Depot,Water Charges,WATER CHARGES TOWNS YARD 25.02.23-24.04.23,B000024113/8325,Water Plus Ltd,20 Jun 2023,314.29
Willows Lane Depot,Water Charges,WATER CHARGES TOWNS YARD 25.04.23-24.05.23,B000024113/8325,Water Plus Ltd,20 Jun 2023,266.60
Burtons Chambers,Security Service,VPS INTRUDER ALARM,B000024115/27659,Vps (Uk) Limited,20 Jun 2023,"1,158.36"
Cvmu,Materials-Direct,REPAIR SWEEPER,B000024116/7688,Aebi Schmidt Uk Ltd,20 Jun 2023,234.00
Pest Control,Baits & Poisons,PULSE RAT IQ STATION (PK OF 6),B000024120/2419,Killgerm Chemicals Ltd,20 Jun 2023,137.70
Pest Control,Baits & Poisons,SAKARAT BROMABAIT 10KG,B000024120/2419,Killgerm Chemicals Ltd,20 Jun 2023,94.50
Parks & Open Spaces,Luf Grant,GALVANISED WILD MESH FENCE ,B000024120/54462,Tudor Environmental,20 Jun 2023,187.14
Parks & Open Spaces,Materials-Direct,TO SUPPLY 100 STRIMMER GUARDS,B000024120/54462,Tudor Environmental,20 Jun 2023,170.00
Parks & Open Spaces,Playground Repairs,GRASS MATS AS PER Q DATED 22.5.23,B000024120/60721,Groundwork & Leisure Services Limited,20 Jun 2023,440.00
Parks & Open Spaces,Protective Clothing,32 INCH S REGATTA CARGO WORK TROUSERS BLACK,B000024120/666,"Bubbles, Brushes & Wiper Co Ltd",20 Jun 2023,110.94
Parks & Open Spaces,Protective Clothing,AWD L BREATHABLE TSHIRT NAVY BLUE,B000024120/666,"Bubbles, Brushes & Wiper Co Ltd",20 Jun 2023,43.50
Parks & Open Spaces,Protective Clothing,AWD M BREATHABLE TSHIRT NAVY BLUE,B000024120/666,"Bubbles, Brushes & Wiper Co Ltd",20 Jun 2023,43.50
Parks & Open Spaces,Protective Clothing,C001 AWD X L BREATHABLE TSHIRT NAVY BLUE,B000024120/666,"Bubbles, Brushes & Wiper Co Ltd",20 Jun 2023,34.80
Parks & Open Spaces,Protective Clothing,HW100 SMALL VISI VEST NO LOGOS,B000024120/666,"Bubbles, Brushes & Wiper Co Ltd",20 Jun 2023,1.95
Parks & Open Spaces,Protective Clothing,SHORT SLEEVE TSHIRT 19 INCH NECK,B000024120/666,"Bubbles, Brushes & Wiper Co Ltd",20 Jun 2023,58.25
Parks & Open Spaces,Protective Clothing,LARGE NAVY SWEATSHIRT WITH CREST ON FRONT,B000024120/666,"Bubbles, Brushes & Wiper Co Ltd",20 Jun 2023,59.60
Parks & Open Spaces,Protective Clothing,LONG SLEEVE VISI VESTS WITH PARKS GRAPHICS,B000024120/666,"Bubbles, Brushes & Wiper Co Ltd",20 Jun 2023,47.60
Parks & Open Spaces,Protective Clothing,LONG SLEEVE VISI VESTS WITH PARKS GRAPHICS M,B000024120/666,"Bubbles, Brushes & Wiper Co Ltd",20 Jun 2023,23.80
Parks & Open Spaces,Protective Clothing,MEDIUM NAVY SWEATSHIRT WITH CREST ON FRONT,B000024120/666,"Bubbles, Brushes & Wiper Co Ltd",20 Jun 2023,59.60
Parks & Open Spaces,Protective Clothing,PW0011s WADERS SIZE 11,B000024120/666,"Bubbles, Brushes & Wiper Co Ltd",20 Jun 2023,59.96
Parks & Open Spaces,Protective Clothing,WELLINGTON BOOTS,B000024120/666,"Bubbles, Brushes & Wiper Co Ltd",20 Jun 2023,6.50
Parks & Open Spaces,Protective Clothing,REVERSIBLE GO/RT 3279 MED BODY WARMER,B000024120/666,"Bubbles, Brushes & Wiper Co Ltd",20 Jun 2023,31.84
Parks & Open Spaces,Protective Clothing,T-SHIRT COTTON WITH CREST ON FRONT NAVY,B000024120/666,"Bubbles, Brushes & Wiper Co Ltd",20 Jun 2023,52.20
Parks & Open Spaces,Protective Clothing,XL NAVY SWEATSHIRT WITH CREST ON FRONT,B000024120/666,"Bubbles, Brushes & Wiper Co Ltd",20 Jun 2023,59.60
Waste Services,Protective Clothing,ASBESTOS FOLD FLAT P3 MASKS OS,B000024120/666,"Bubbles, Brushes & Wiper Co Ltd",20 Jun 2023,14.99
Waste Services,Protective Clothing,"BLACKROCK SAFETY TRAINERS 9,10",B000024120/666,"Bubbles, Brushes & Wiper Co Ltd",20 Jun 2023,70.86
Waste Services,Protective Clothing,DISPOSABLE DELIGHT PF VINYL GLOVES L,B000024120/666,"Bubbles, Brushes & Wiper Co Ltd",20 Jun 2023,57.00
Waste Services,Protective Clothing,"HIMALAYAN SAFETY BOOTS 4,7,8,9,10",B000024120/666,"Bubbles, Brushes & Wiper Co Ltd",20 Jun 2023,394.29
Waste Services,Protective Clothing,"PORTWEST HI VIS BALLISTIC TROUSERS M,L",B000024120/666,"Bubbles, Brushes & Wiper Co Ltd",20 Jun 2023,509.92
Waste Services,Protective Clothing,"PORTWEST HI VIS ORANGE POLO T-SHIRT M,L,XL",B000024120/666,"Bubbles, Brushes & Wiper Co Ltd",20 Jun 2023,89.91
Waste Services,Protective Clothing,SIOEN MONORAY HI VIS WATERPROOF TROUSER M,B000024120/666,"Bubbles, Brushes & Wiper Co Ltd",20 Jun 2023,114.40
Waste Services,Protective Clothing,"SUMO X5 GLOVES 9,10",B000024120/666,"Bubbles, Brushes & Wiper Co Ltd",20 Jun 2023,956.00
Waste Services,Protective Clothing,"SUPERTOUCH TWO TONE SWEATSHIRT M,L,XL",B000024120/666,"Bubbles, Brushes & Wiper Co Ltd",20 Jun 2023,194.85
Oakhill Prk Tenniscourt Refurb,Contractor Other,OAKHILL PARK TENNIS COURT REFURB,B000024120/68264,Sportex Group Limited,20 Jun 2023,"30,328.53"
Willows Lane Depot,Cleaning Materials,LA CLOTHS BLUE (1 X 5),B000024120/7951,System Hygiene Ltd,20 Jun 2023,27.30
Willows Lane Depot,Cleaning Materials,LA CLOTHS RED (1 X 5),B000024120/7951,System Hygiene Ltd,20 Jun 2023,18.20
Willows Lane Depot,Cleaning Materials,YELLOW CHANNEL CUBES (3KG),B000024120/7951,System Hygiene Ltd,20 Jun 2023,21.39
Willows Lane Depot,Cleaning Materials,BLEACH ,B000024120/7951,System Hygiene Ltd,20 Jun 2023,10.92
Willows Lane Depot,Cleaning Materials,PREMIER TOILET ROLLS ,B000024120/7951,System Hygiene Ltd,20 Jun 2023,61.20
Willows Lane Depot,Cleaning Materials,JUMBO TOILET ROLLS ,B000024120/7951,System Hygiene Ltd,20 Jun 2023,16.69
Willows Lane Depot,Cleaning Materials,GREEN HAND ROLLS (1 X 16),B000024120/7951,System Hygiene Ltd,20 Jun 2023,67.74
Cannon St Acc,Water Charges,WATER 01.04.23-31.03.24   20 CANNON ST,B000024121/8325,Water Plus Ltd,20 Jun 2023,"4,143.27"
Cctv Upgrade,Contractor Other,INSTALL NEW 8TB HARD DRIVE,B000024123/24998,Full Circuit Fire & Security Ltd,20 Jun 2023,347.99
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024125/17577,Wessex Lift Co Ltd,20 Jun 2023,"18,180.00"
Housing Benefit Administration,Agency Staff,AGENCY STAFF W/E 11/06/23,B000024125/33923,Eden Brown Limited,20 Jun 2023,"1,010.10"
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024125/40686,Assist Fm Ltd,20 Jun 2023,720.00
Cctv Upgrade,Contractor Other,SUPPLY & FIT FLOOD LIGHTS TO CEMETERY OFFICE & CREM,B000024125/57949,Steven Mercer Electrical Contractors Limited,20 Jun 2023,461.59
Corporate Property,Electricity,MERCER HOUSE 01/05/23 - 01/06/23,B000024125/58973,Utility Warehouse,20 Jun 2023,838.73
Corporate Property,Gas,MERCER HOUSE 01/05/23 - 01/06/23,B000024125/58973,Utility Warehouse,20 Jun 2023,49.79
Corporate Property Bus Unit,Fees-Analysts & Consultants,FLYGRAZING-  OSW,B000024125/64541,Specialist & Equine Bailiffs Limited,20 Jun 2023,495.00
Corporate Property Bus Unit,Fees-Analysts & Consultants,FLY GRAZING NOTICE-  ACC.,B000024125/64541,Specialist & Equine Bailiffs Limited,20 Jun 2023,495.00
Housing Benefit Administration,Computer Rental & Maint,DWP LA DATA SHARE PROGRAM COSTS,B000024125/783,Capita Business Services Ltd,20 Jun 2023,"10,022.99"
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024125/7874,Stannah Lift Services Limited,20 Jun 2023,"3,436.00"
Accrington Town Centre,Event Expenditure,TRAFFIC MANAGEMENT FOR RON HILL RUN,B000024126/67878,The Running Bee Foundation,20 Jun 2023,"3,800.00"
Housing Advice,Agency Staff,AGENCY STAFF - NF - P/E 28.05.2023,B000024088/61860,Vivid Resourcing,22 Jun 2023,"1,805.76"
Vat Only Suspense,Misc Expenses Other,ENFORCEMENT AGENT,B000024088/66036,Marston (Holdings) Ltd,22 Jun 2023,0.00
Housing Standards,Local Housing Allowance,AGENCY STAFF W/C 22.5.23,B000024092/58852,Oyster Partnership,22 Jun 2023,"1,093.05"
Environmental Protection,Agency Staff,AGENCY STAFF W/C 28.5.23,B000024092/61860,Vivid Resourcing,22 Jun 2023,"1,800.54"
Environmental Protection,Agency Staff,AGENCY STAFF W/C 28.5.23,B000024092/61860,Vivid Resourcing,22 Jun 2023,767.81
Cvmu,Equipmnt Repair & Maint,GREASE,B000024096/66006,Alliance Automotive Uk Lv T/A Jpn Autoparts,22 Jun 2023,270.54
Accrington Crematorium,Visual Tributes,MUSIC/MEDIA CHARGES,B000024097/55609,Obitus (Vivedia Ltd),22 Jun 2023,"1,429.00"
Haworth Art Gallery,Asset Maint R&M,HAWORTH ART GALLERY 5 YR FIXED WIRING TEST,B000024098/60330,Calbarrie Compliance Services,22 Jun 2023,792.30
Scaitcliffe House,Equipmnt Repair & Maint,SCAITCLIFFE 3 X NEW BLINDS ON RECEPTION,B000024098/60748,Blind Solutions,22 Jun 2023,486.00
Recycling Collection,Vehicle Tracker / Fuel/ Cctv,VEHICLE TRACKERS,B000024101/60522,Trakm8 Holdings Plc,22 Jun 2023,80.00
Refuse Collection,Vehicle Tracker / Fuel/ Cctv,VEHICLE TRACKERS,B000024101/60522,Trakm8 Holdings Plc,22 Jun 2023,80.00
Street Cleansing,Vehicle Tracker / Fuel/ Cctv,VEHICLE TRACKERS,B000024101/60522,Trakm8 Holdings Plc,22 Jun 2023,80.00
Parks & Open Spaces,Vehicle Tracker / Fuel/ Cctv,TRACKER COSTS,B000024101/65244,Inseego,22 Jun 2023,240.00
Accountancy,Agency Staff,AGENCY STAFF WC 22.05.23,B000024102/58852,Oyster Partnership,22 Jun 2023,"3,550.00"
Accountancy,Agency Staff,TEMP STAFF WE 28.05.23 ,B000024102/61860,Vivid Resourcing,22 Jun 2023,"2,950.00"
Development Control B.U.,Agency Staff,TEMP STAFF 8/6/23,B000024107/58852,Oyster Partnership,22 Jun 2023,463.20
Planning Policy B.U.,Agency Staff,AGENCY STAFF ,B000024107/58852,Oyster Partnership,22 Jun 2023,"1,379.50"
Corporate Property Bus Unit,Agency Staff,AGENCY STAFF- W/C 22ND MAY 23,B000024107/61657,G2 Recruitment Solutions,22 Jun 2023,"1,971.00"
Parks & Open Spaces,Advertising,JOB ADVERT,B000024108/58800,Haymarket Media Group Ltd,22 Jun 2023,"1,100.00"
Parks & Open Spaces,Advertising,JOB ADVERT,B000024108/58800,Haymarket Media Group Ltd,22 Jun 2023,"1,100.00"
Accrington Town Centre,Event Expenditure,REMAINING PAYMENT FOR FOOD AND CULTURE FESTIVAL,B000024114/17546,Scott Dawson Advertising Ltd,22 Jun 2023,"10,750.00"
Commercial Collections,Landfill Tax,AS ABOVE,B000024114/8810,Suez Recycling And Recovery Uk Ltd,22 Jun 2023,"9,746.46"
Commercial Collections,Waste Disposal Charges,TRADE WASTE,B000024114/8810,Suez Recycling And Recovery Uk Ltd,22 Jun 2023,"2,397.95"
Hmo,Agency Staff,TEMP STAFF W/C 22.05.23 ,B000024115/58852,Oyster Partnership,22 Jun 2023,"1,040.00"
Library St Depot,General Repair & Maint Bldgs,ROLLER SHUTTER REPAIRS,B000024119/54975,Roller Shutter Services Ltd,22 Jun 2023,716.00
Library St Depot,Cleaning,SUPPLEMENTARY CLEANING CVMU,B000024119/68396,Servicemaster Cs Aaa,22 Jun 2023,734.24
Library St Depot,Water Charges,WATER CHARGES CVMU 08.05.23-06.06.23,B000024119/8325,Water Plus Ltd,22 Jun 2023,398.87
Cvmu,Tachographs,1 YEAR DIGITAL MANAGEMENT FEE FOR 11-25,B000024120/20539,Freight Transport Association,22 Jun 2023,"1,126.00"
Street Cleansing,Weedkilling,2 HIGHWAY WEED CONTROL TREATMENTS,B000024120/42709,Rm Services Ltd,22 Jun 2023,"18,320.00"
Willows Lane Depot,Fuel Additives,FUEL ,B000024120/47016,J E Morten Ltd,22 Jun 2023,520.00
Local Taxation,Billing,STATIONERY - COUNCIL TAX 4PP BOOKLET,B000024129/57679,Critiqom,22 Jun 2023,"1,246.03"
Local Taxation,Billing,STATIONERY - PRIMEPOST C5 ENVELOPES,B000024129/57679,Critiqom,22 Jun 2023,768.00
Green Infrastructure,Spouthouse Woodland Project,WASTE REMOVAL X 2.5 LOAD,B000024129/59338,Waste Busters Waste Removal,22 Jun 2023,500.00
Land At Nook Lane,Fees-Analysts & Consultants,BURY MEADOWS - MASTER PLAN AND CAF BID,B000024129/60561,Proffits Investing In Communities,22 Jun 2023,"1,443.00"
Cctv'S,Energy,AMENITY LIGHTING - 10.03.23 - 01.05.23,B000024129/67592,Good Energy Group Plc,22 Jun 2023,140.49
Christmas Decs & Amenity Costs,Energy,AMENITY LIGHTING - 10.03.23 - 01.05.23,B000024129/67592,Good Energy Group Plc,22 Jun 2023,"2,072.17"
Off Street Parking,Energy,AMENITY LIGHTING - 10.03.23 - 01.05.23,B000024129/67592,Good Energy Group Plc,22 Jun 2023,"1,639.01"
Other Services,Energy,AMENITY LIGHTING - 10.03.23 - 01.05.23,B000024129/67592,Good Energy Group Plc,22 Jun 2023,70.24
Public Transport,Energy,AMENITY LIGHTING - 10.03.23 - 01.05.23,B000024129/67592,Good Energy Group Plc,22 Jun 2023,760.97
Hyndburn Cemeteries,Agency Staff,AGENCY STAFF -W/C 05.06.23,B000024130/19414,Proman Supply Chain Ltd,22 Jun 2023,"1,138.22"
Parks & Open Spaces,Agency Staff,AGENCY STAFF - W/C 05.06.23,B000024130/19414,Proman Supply Chain Ltd,22 Jun 2023,"1,587.69"
Hyndburn Cemeteries,Cleaning Of Buildings,BUILDING CLEANING ACC CEMETERY DEC 22,B000024130/50873,Servicemaster,22 Jun 2023,669.32
Parks & Open Spaces,Cleaning Of Buildings,BUILDING CLEANING RHYDDINGS PARK DEC 22,B000024130/50873,Servicemaster,22 Jun 2023,451.77
Parks & Open Spaces,Cleaning Of Buildings,BUILDING CLEANING WILSONS DEC 22,B000024130/50873,Servicemaster,22 Jun 2023,501.98
Cemetery Welfare & Depot Fac,Contractor Other,FINAL PAYMENT PHASE ONE MINUS RETENTION,B000024130/7524,Ross Lee Construction Ltd,22 Jun 2023,"21,370.08"
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024131/30178,B3p Services Ltd,22 Jun 2023,"5,881.00"
Environmental Protection,Agency Staff,TEMP STAFF- P/E 30/04/23,B000024131/61860,Vivid Resourcing,22 Jun 2023,"1,800.05"
Environmental Protection,Agency Staff,TEMP STAFF - W/E 07/05/23,B000024131/61860,Vivid Resourcing,22 Jun 2023,756.00
Development Control B.U.,Agency Staff,TEMP STAFF - W/E 18/06/23,B000024131/67448,Macdonald & Company,22 Jun 2023,925.92
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024131/68625,Authorized Access,22 Jun 2023,"2,025.90"
Cctv'S,Energy,AMENITY LIGHTING DAY - 1.5.23 - 1.6.23,B000024132/35310,Sse,22 Jun 2023,187.85
Christmas Decs & Amenity Costs,Energy,AMENITY LIGHTING DAY - 1.5.23 - 1.6.23,B000024132/35310,Sse,22 Jun 2023,"2,770.73"
Off Street Parking,Energy,AMENITY LIGHTING DAY - 1.5.23 - 1.6.23,B000024132/35310,Sse,22 Jun 2023,"2,191.54"
Other Services,Energy,AMENITY LIGHTING DAY - 1.5.23 - 1.6.23,B000024132/35310,Sse,22 Jun 2023,93.91
Public Transport,Energy,AMENITY LIGHTING DAY - 1.5.23 - 1.6.23,B000024132/35310,Sse,22 Jun 2023,"1,017.50"
Accrington Town Centre,General Subscriptions, R3 M/S SUBSCRIPTION,B000024132/36434,Bytes Software Services Ltd,22 Jun 2023,67.68
Computer Services,Rental & Maint Software Misc,YR3 M/S SUBSCRIPTION,B000024132/36434,Bytes Software Services Ltd,22 Jun 2023,"66,153.48"
Computer Services,Telephones,01/06/23 - 30/06/23,B000024132/46800,Cloudcoco Limited,22 Jun 2023,"1,360.15"
Accountancy,New Equipment,19.5.23 - 18.6.23,B000024132/55296,Ee Limited,22 Jun 2023,23.98
Accrington Town Centre,Mobiles,19.5.23 - 18.6.23,B000024132/55296,Ee Limited,22 Jun 2023,27.96
Allotments,General Repair & Maint Bldgs,19.5.23 - 18.6.23,B000024132/55296,Ee Limited,22 Jun 2023,17.98
Computer Services,Mobiles,19.5.23 - 18.6.23,B000024132/55296,Ee Limited,22 Jun 2023,64.91
Computer Services,Telephones,19.5.23 - 18.6.23,B000024132/55296,Ee Limited,22 Jun 2023,160.00
Corp & Dem Core,Marketing Communications,19.5.23 - 18.6.23,B000024132/55296,Ee Limited,22 Jun 2023,10.00
Corporate Property Bus Unit,Mobiles,19.5.23 - 18.6.23,B000024132/55296,Ee Limited,22 Jun 2023,27.96
Covid 19,Mobiles,19.5.23 - 18.6.23,B000024132/55296,Ee Limited,22 Jun 2023,33.98
Coviid 19,Mobiles, 19.5.23 - 18.6.23,B000024132/55296,Ee Limited,22 Jun 2023,41.94
Cvmu,Mobiles,19.5.23 - 18.6.23,B000024132/55296,Ee Limited,22 Jun 2023,20.00
Development,Mobiles,19.5.23 - 18.6.23,B000024132/55296,Ee Limited,22 Jun 2023,69.90
Development Control B.U.,Mobiles,19.5.23 - 18.6.23,B000024132/55296,Ee Limited,22 Jun 2023,135.24
Dog Warden,Mobiles,19.5.23 - 18.6.23,B000024132/55296,Ee Limited,22 Jun 2023,13.98
Enforcement,Mobiles,19.5.23 - 18.6.23,B000024132/55296,Ee Limited,22 Jun 2023,50.93
Environmental Protection,Mobiles,19.5.23 - 18.6.23,B000024132/55296,Ee Limited,22 Jun 2023,82.99
Facilities Team,Mobiles,19.5.23 - 18.6.23,B000024132/55296,Ee Limited,22 Jun 2023,55.92
Facilities Team,New Equipment,19.5.23 - 18.6.23,B000024132/55296,Ee Limited,22 Jun 2023,20.00
Graphics & Communications,Mobiles,19.5.23 - 18.6.23,B000024132/55296,Ee Limited,22 Jun 2023,27.96
Head Of Legal & Democratic Ser,Mobiles,19.5.23 - 18.6.23,B000024132/55296,Ee Limited,22 Jun 2023,23.98
Health Food & Safety,Civica Mobile Working,19.5.23 - 18.6.23,B000024132/55296,Ee Limited,22 Jun 2023,40.00
Health Food & Safety,Mobiles,19.5.23 - 18.6.23,B000024132/55296,Ee Limited,22 Jun 2023,101.86
Health Officers,Mobiles,19.5.23 - 18.6.23,B000024132/55296,Ee Limited,22 Jun 2023,22.97
Hmo,Mobiles,19.5.23 - 18.6.23,B000024132/55296,Ee Limited,22 Jun 2023,27.96
Housing Advice,Mobiles,19.5.23 - 18.6.23,B000024132/55296,Ee Limited,22 Jun 2023,69.90
Housing Benefit Administration,Bpr/Contact Centre,19.5.23 - 18.6.23,B000024132/55296,Ee Limited,22 Jun 2023,20.00
Housing Standards,Mobiles,19.5.23 - 18.6.23,B000024132/55296,Ee Limited,22 Jun 2023,36.95
Human Resources,Mobiles,19.5.23 - 18.6.23,B000024132/55296,Ee Limited,22 Jun 2023,67.92
Human Resources,New Equipment,19.5.23 - 18.6.23,B000024132/55296,Ee Limited,22 Jun 2023,10.00
Internal Audit,Office Consumables,19.5.23 - 18.6.23,B000024132/55296,Ee Limited,22 Jun 2023,26.97
Legal Services,Mobiles,19.5.23 - 18.6.23,B000024132/55296,Ee Limited,22 Jun 2023,26.97
Leisure In Hyndburn,Mobiles,19.5.23 - 18.6.23,B000024132/55296,Ee Limited,22 Jun 2023,41.94
Licensing,Mobiles,19.5.23 - 18.6.23,B000024132/55296,Ee Limited,22 Jun 2023,27.96
Licensing,New Equipment,19.5.23 - 18.6.23,B000024132/55296,Ee Limited,22 Jun 2023,10.00
Licensing,Office Consumables,19.5.23 - 18.6.23,B000024132/55296,Ee Limited,22 Jun 2023,27.96
Local Taxation,Bpr/Contact Centre,19.5.23 - 18.6.23,B000024132/55296,Ee Limited,22 Jun 2023,8.99
Management Business Unit,Mobiles,19.5.23 - 18.6.23,B000024132/55296,Ee Limited,22 Jun 2023,23.98
Managing Director,Mobiles,19.5.23 - 18.6.23,B000024132/55296,Ee Limited,22 Jun 2023,28.23
Markets - Staffing,Mobiles,19.5.23 - 18.6.23,B000024132/55296,Ee Limited,22 Jun 2023,13.98
Member Services,Mobiles,19.5.23 - 18.6.23,B000024132/55296,Ee Limited,22 Jun 2023,22.97
Member Services,Office Consumables,19.5.23 - 18.6.23,B000024132/55296,Ee Limited,22 Jun 2023,10.00
Members Expenses,Mobiles,19.5.23 - 18.6.23,B000024132/55296,Ee Limited,22 Jun 2023,13.98
Parks & Open Spaces,Materials-Direct,19.5.23 - 18.6.23,B000024132/55296,Ee Limited,22 Jun 2023,91.52
Pest Control,Mobiles,19.5.23 - 18.6.23,B000024132/55296,Ee Limited,22 Jun 2023,41.94
Policy And Performance Review,Telephones,19.5.23 - 18.6.23,B000024132/55296,Ee Limited,22 Jun 2023,32.97
Proposed Selec Licensing 2017,Mobiles,19.5.23 - 18.6.23,B000024132/55296,Ee Limited,22 Jun 2023,27.96
Recycling Collection,Mobiles,19.5.23 - 18.6.23,B000024132/55296,Ee Limited,22 Jun 2023,102.12
Refuse/Cleansing Admin Staff,Civil Contingency Act,19.5.23 - 18.6.23,B000024132/55296,Ee Limited,22 Jun 2023,30.00
Refuse/Cleansing Admin Staff,Mobiles,19.5.23 - 18.6.23,B000024132/55296,Ee Limited,22 Jun 2023,194.79
Refuse Collection,Computer Rental & Maint,19.5.23 - 18.6.23,B000024132/55296,Ee Limited,22 Jun 2023,180.00
Strategic Housing Department,Mobiles,19.5.23 - 18.6.23,B000024132/55296,Ee Limited,22 Jun 2023,13.98
Computer Services,Telephones,JUNE 23,B000024132/644,British Telecommunications Plc,22 Jun 2023,"1,210.19"
Pest Control,Baits & Poisons,DOC LURE 300ML,B000024133/2419,Killgerm Chemicals Ltd,22 Jun 2023,16.65
Pest Control,Baits & Poisons,RATIMOR BRODI BLOCKS,B000024133/2419,Killgerm Chemicals Ltd,22 Jun 2023,220.32
Acc Tc Cleansing,Implements & Tools,ANNUAL SERVICE AGREEMENT FOR KARCHER,B000024133/63954,Karcher (Uk) Ltd,22 Jun 2023,"1,506.72"
Local Taxation,Legal Fees,ENFORCEMENT PAYMENTS,B000024092/66036,Marston (Holdings) Ltd,27 Jun 2023,412.25
Refuse/Cleansing Admin Staff,Civil Contingency Act,EMERGENY PLANNING RADIO SYSTEM,B000024101/2484,Lancashire Police Federation,27 Jun 2023,250.00
General Maintenance,Work Done Dlo-Highways,DRAIN REPAIRS,B000024107/14998,Sterling Construction (Services) Ltd,27 Jun 2023,"2,425.00"
General Maintenance,Work Done Dlo-Highways,DRAIN REPAIRS ,B000024107/14998,Sterling Construction (Services) Ltd,27 Jun 2023,"1,650.00"
Paving Improvements,Contractor Other,FLAGGING ACCRINGTON TOWN CENTRE,B000024107/14998,Sterling Construction (Services) Ltd,27 Jun 2023,"1,100.00"
Development Control B.U.,Agency Staff,AGENCY STAFF - DL - W/C 29/5/23,B000024107/58852,Oyster Partnership,27 Jun 2023,463.20
Planning Policy B.U.,Agency Staff,AGENCY STAFF  - W/C 29/5/23,B000024107/58852,Oyster Partnership,27 Jun 2023,"1,246.00"
Parks & Open Spaces,Asset Maint R&M,OAKHILL PARK BOWLS PAVILION - DESCALE AND SERVICE BOILER,B000024107/59248,Lancashire Gas Services,27 Jun 2023,360.00
Parks & Open Spaces,Asset Maint R&M,OAKHILL PARK BOWLS - SUPPLY AND INSTAL NEW HEATER,B000024107/59248,Lancashire Gas Services,27 Jun 2023,"1,179.23"
Corporate Property Bus Unit,Agency Staff,AGENCY STAFF -  W/C 29TH MAY 2023,B000024107/61657,G2 Recruitment Solutions,27 Jun 2023,"1,512.00"
Accountancy,Agency Staff,AGENCY STAFF - W/C 29/05/23,B000024108/58852,Oyster Partnership,27 Jun 2023,"3,550.00"
Accountancy,Agency Staff,AGENCY STAFF  - W/E 04/06/23,B000024108/61860,Vivid Resourcing,27 Jun 2023,"2,950.00"
Housing Advice,Agency Staff,AGENCY STAFF  - P/C 4.6.23,B000024108/61860,Vivid Resourcing,27 Jun 2023,"1,205.64"
Dev Control,Dev Control System,NEC ASSURE PROJECT MGNT/TECHNICAL CONSISTANCY,B000024108/65823,Nec Software Solutions Uk Ltd,27 Jun 2023,"2,800.00"
Land At Nook Lane,Environmental Works,TREE WORK,B000024109/62398,Westfield Tree Services,27 Jun 2023,"2,975.00"
Vat Only Suspense,Misc Expenses Other,LEGAL COSTS,B000024114/56833,Weightmans Llp,27 Jun 2023,"-1,384.00"
Vat Only Suspense,Misc Expenses Other,LEGAL COSTS,B000024114/56833,Weightmans Llp,27 Jun 2023,"1,384.00"
Willows Lane Depot,Depot Costs,CHASSIS WASH,B000024114/61581,C J Jetz Ltd,27 Jun 2023,"2,011.50"
Waste Services,Agency Staff,AGENCY STAFF  W/C 29.5.23,B000024114/61971,Rapid Recruit Ltd,27 Jun 2023,286.45
Hmo,Agency Staff,TEMP STAFF W/C 29.05.23 ,B000024115/58852,Oyster Partnership,27 Jun 2023,"1,092.00"
