Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
LEGAL SERVICES,PUBLICATIONS & PERIODICALS,CROSS LOCAL GOVET LAW BOOK,B000018815/50652,THOMSON REUTERS,03/05/2017,337
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 24.4.17,B000018815/33923,EDEN BROWN LTD,03/05/2017,681.25
DEV CONTROL,DEV CONTROL SYSTEM,SPATIAL EXTENSIONS,B000018815/35967,NORTHGATE PUBLIC SERVICES (UK) LTD,03/05/2017,730.24
GYPSY SITE,NET RENTS,27.3.17-24.4.17,B000018815/45458,GLOSSOP CARAVANS LTD,03/05/2017,805.9
HOUSING BENEFIT ADMINISTRATION,COMPUTER RENTAL & MAINT,CTS TWO CHILD RESTRICTION,B000018815/783,CAPITA BUSINESS SERVICES LTD,03/05/2017,950
DEVELOPMENT CONTROL B.U.,GENERAL SUBSCRIPTIONS,SUBS 17 - DCP ONLINE,B000018815/52420,HAYMARKET MEDIA GROUP,03/05/2017,1290
DEVELOPMENT CONTROL B.U.,GENERAL SUBSCRIPTIONS,DCP ONLINE RENEWAL,B000018815/58800,HAYMARKET MEDIA GROUP LTD,03/05/2017,1337
AFFORDABLE WARMTH GRANT,CONTRACTOR OTHER,AFFORDABLE WARMTH GRANT,B000018815/50717,HIGH EFFICIENCY LTD,03/05/2017,1675
PEST CONTROL,BAITS & POISONS,PRICE AGREED FOR ALL ITEMS,B000018819/58758,PELSIS LTD,04/05/2017,292.76
LEISURE IN HYNDBURN,GRANTS-GENERAL,CONT TOWARDS SWIMMING - FEB 17,B000018816/29112,HYNDBURN LEISURE,04/05/2017,452.2
STRATEGIC HOUSING DEPARTMENT,FEES-ANALYSTS & CONSULTANTS,DEVELOPMENT EVENT 21.3.17,B000018816/552,BLACKBURN WITH DARWEN BOROUGH COUNCIL,04/05/2017,873
CUSTOMER SERVICES,TRAINING EXPENSES,DISTANCE LEARNING,B000018816/52997,IRRV,04/05/2017,1360
WILLOWS LANE DEPOT,GENERAL REPAIR & MAINT BLDGS,PART EQUIPMENT + INSTALLATION,B000018819/59186,SAR LUBRICANTS,04/05/2017,1562.56
LEISURE IN HYNDBURN,LEISURE TRUST MANAGEMENT FEE,CLAYTON CIVIC - APRIL 17,B000018816/29112,HYNDBURN LEISURE,04/05/2017,1600
AFFORDABLE WARMTH GRANT,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000018816/35745,AGS HEATING & PLUMBING LTD,04/05/2017,1670
RHYDDINGS PARK LOTTERY,MISCELLANEOUS,PAYING PART INVOICES,B000018819/24110,NEWGROUND CIC,04/05/2017,2446.5
VEHICLE MAINT SUPERVISION,CONTRACT HIRE,HIRE AGREEMENT 105477,B000018819/46880,SPECIALIST FLEET SERVICES LTD,04/05/2017,2644.75
VEHICLE MAINT SUPERVISION,CONTRACT HIRE,HIRE AGREEMENT 105305,B000018819/46880,SPECIALIST FLEET SERVICES LTD,04/05/2017,2644.75
VEHICLE MAINT SUPERVISION,CONTRACT HIRE,HIRE AGREEMENT 105306,B000018819/46880,SPECIALIST FLEET SERVICES LTD,04/05/2017,2644.75
VEHICLE MAINT SUPERVISION,CONTRACT HIRE,HIRE AGREEMENT 105478,B000018819/46880,SPECIALIST FLEET SERVICES LTD,04/05/2017,2644.75
VEHICLE MAINT SUPERVISION,CONTRACT HIRE,HIRE AGREEMENT 105307,B000018819/46880,SPECIALIST FLEET SERVICES LTD,04/05/2017,2644.75
ENV SCHEME NUTTALL ST,CONTRACTOR OTHER,NUTTALL ST FACELIFT - FINAL,B000018816/55184,PLACEFIRST,04/05/2017,45664
BANK MILL HOUSE,CLEANING OF BUILDINGS,CLEANING - MAY 17,B000018821/50873,SERVICEMASTER,08/05/2017,251.15
WILLOWS LANE DEPOT,DEPOT COSTS,STEAM CLEANER FLUID FOR WASH A,B000018824/4467,HOPE & BROWN LTD,08/05/2017,253.17
HOUSING BENEFIT ADMINISTRATION,LEGAL FEES,COSTS,B000018823/49780,ROSSENDALES COLLECT LTD,08/05/2017,296.89
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY STAFF ,B000018824/19414,HEADS RECRUITMENT LIMITED,08/05/2017,349.12
ACCRINGTON MARKET,YARD CLEANING,REFUSE REMOVAL W.E 22.4.17,B000018821/8287,TRIPLE C SKIPS,08/05/2017,360
WILLOWS LANE DEPOT,DEPOT COSTS,STEAM CLEANER MAINTENANCE COST,B000018824/30368,SCL,08/05/2017,363.5
GENERAL EXPENSES,CABINET ACTION FUND,CAR CHARGE POINT 31.3.17-25.4.,B000018821/35310,SWALEC,08/05/2017,370.17
HUMAN RESOURCES,GENERAL SUBSCRIPTIONS,SUBS 17/18,B000018821/49172,DISTRICT COUNCILS NETWORK,08/05/2017,410
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY COVER ,B000018824/19414,HEADS RECRUITMENT LIMITED,08/05/2017,425.49
ACCRINGTON MARKET,YARD CLEANING,REFUSE REMOVAL W/E 17.4.17,B000018821/8287,TRIPLE C SKIPS,08/05/2017,600
GENERAL EXPENSES,CABINET ACTION FUND,CAR CHARGE POINT 28.2.17-30.3.,B000018821/25200,E.ON UK PLC,08/05/2017,605.02
PARKS & OPEN SPACES,LICENSING PLACES OF ENTERTMT,MUSIC LICENCE 6-APR -16 TO 5-A,B000018824/38998,THE PERFORMING RIGHT SOCIETY,08/05/2017,661.89
GREAT HARWOOD MARKET,NEW EQUIPMENT,RHINO ROOF CANOPY,B000018823/59710,BUYER DIRECT LTD,08/05/2017,663.34
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF W/E 23.4.17,B000018823/46341,MORGAN HUNT UK LTD,08/05/2017,741.6
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF WK 30.04.17 ,B000018824/19414,HEADS RECRUITMENT LIMITED,08/05/2017,850.98
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF W/E 30.4.17,B000018821/46341,MORGAN HUNT UK LTD,08/05/2017,914.64
FACILITIES TEAM,AGENCY STAFF,TEMP STAFF W/E 30.4.17,B000018821/55150,VENN GROUP LIMITED,08/05/2017,921
COMPUTER SERVICES,PRINTER/ COPIER RENTAL & MAINT,CONSUMABLES,B000018822/52996,DOCUMENT XL,08/05/2017,1147.11
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF WASTE SERVI CES W,B000018824/55740,RAPID RECRUITMENT LTD,08/05/2017,1684.98
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000018822/50640,PRISM MEDICAL UK,08/05/2017,3087.21
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF WE 30.04.17 X 7 O,B000018824/55740,RAPID RECRUITMENT LTD,08/05/2017,3104.62
LICENSING,OFFICE CONSUMABLES,ITEMS FOR TAXI LICENSING,B000018822/21487,VIP-SYSTEM LTD,08/05/2017,3326.33
COMPUTER SERVICES,RENTAL & MAINT SOFTWARE MISC,ANNUAL MTCE TO 1.5.18,B000018822/1553,FRONTIER SOFTWARE PLC,08/05/2017,16633.32
REFERENDUM,PREPARATION POLL CARDS,PARLIAMENTARY POLL CARDS DELIV,B000018823/54880,PRINT IMAGE FACILITIES LLP,08/05/2017,17161.07
VEHICLE MAINT SUPERVISION,FUEL STOCK,FUEL COSTS ,B000018824/7658,SAMUEL COOKE & CO LTD,08/05/2017,23450
COMPUTER SERVICES,PRINTER/ COPIER RENTAL & MAINT,CHARGES 4.2.17-3.5.17,B000018825/31105,KONICA MINOLTA B S EAST LTD,09/05/2017,1007.21
TOWNSCAPE HERITAGE INITIATIVE,OTHER FEES,C4 SCHOOLS PART 2,B000018825/58722,P WELLS T/A THE HERITAGE CONNECTION,09/05/2017,1333.33
WILLOWS LANE DEPOT,GAS,WILLOWS LANE APR 17,B000018828/30430,NPOWER BUSINESS,10/05/2017,408.47
LIBRARY ST DEPOT,GAS,CVMU 31.3.17 - 4.5.17,B000018828/30430,NPOWER BUSINESS,10/05/2017,540.74
VEHICLE MAINT SUPERVISION,MATERIALS-STOCK ISSUES,AUTO TRANS OIL,B000018830/59186,SAR LUBRICANTS,10/05/2017,602.7
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000018828/59399,T R DUERDEN,10/05/2017,650
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000018828/30178,B3P SERVICES LTD,10/05/2017,689
ACCRINGTON MARKET,GAS,MARKET APR 17,B000018828/30430,NPOWER BUSINESS,10/05/2017,745.75
VEHICLE MAINT SUPERVISION,PROTECTIVE CLOTHING,OVERALLS,B000018830/7417,TEXICARE LTD,10/05/2017,795.25
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,CHELSEA PTO,B000018830/59671,DYNAMIC PUMPS SERVICES LTD,10/05/2017,819.5
ACC TOWN HALL,CLEANING OF BUILDINGS,CLEANING SERVICES,B000018828/29112,HYNDBURN LEISURE,10/05/2017,860.54
INTERNAL AUDIT,PUBLICATIONS & PERIODICALS,SUBS 17/18,B000018781/58700,TAMESIDE MBC,10/05/2017,1000
GYPSY SITE,ELECTRICITY,GYPSY APR 17,B000018829/59343,EDF ENERGY,10/05/2017,1030.47
HAWORTH ART GALLERY,GAS,HAG  APR 17,B000018828/30430,NPOWER BUSINESS,10/05/2017,1037.24
LIBRARY ST DEPOT,ELECTRICITY,CVMU APR 17,B000018829/59343,EDF ENERGY,10/05/2017,1084.15
PARKS & OPEN SPACES,GROUND RENTS,HOLT ST REC GROUND RENT,B000018828/16782,INGHAM & YORKE,10/05/2017,1250
HYNDBURN CEMETERIES,GAS,ACC CEM APR 17,B000018828/30430,NPOWER BUSINESS,10/05/2017,2224.18
LEISURE IN HYNDBURN,ELECTRICITY,MERCER HALL 1.4.17  30.4.17,B000018829/59343,EDF ENERGY,10/05/2017,3105.2
SCAITCLIFFE HOUSE,ELECTRICITY,SCAITCLIFFE APR 17,B000018829/59343,EDF ENERGY,10/05/2017,3199.85
B C NON FEE,MISC EXPENSES OTHER,FLOOD GRANT ,B000018829/59727,MONARCH FLOOD PROTECTION,10/05/2017,4166.5
LEISURE IN HYNDBURN,ELECTRICITY,SPORTS C APR 17,B000018829/59343,EDF ENERGY,10/05/2017,5059.46
ACCRINGTON CREMATORIUM,BOOK OF REMEMBRANCE,Inscriptions - Book of Remembe,B000018832/23978,CALLIGRAPHY UK LTD,12/05/2017,286.13
DOG WARDEN,PRINTING,"S/A VINYL LABEL - CLEAN IT UP,",B000018832/1110,DALTON & CO (PRINTERS) LTD,12/05/2017,316
RHYDDINGS PARK LOTTERY,MISCELLANEOUS,INTRIM PAYMENT AS ABOVE,B000018832/58933,HORTICON LTD,12/05/2017,38482
EXTERNAL ELECTIONS 2017,ELECTION FEES-COUNTING VOTES,TABLE HIRE FOR COUNT LCC17,B000018833/49997,DALE EVENT HIRE,15/05/2017,256
REFERENDUM,HIRE OF POLLING STATIONS,HIRE OF BUILDING FOR P/STATION,B000018833/55587,COMMUNITY SOLUTIONS LANCASHIRE,15/05/2017,260
GREEN INFRASTRUCTURE,GREEN INFRASTRUCTURE,AQA REGISTRATIONS,B000018835/9249,PROSPECTS FOUNDATION,15/05/2017,301.2
REFERENDUM,GROUND RENTS,HIRE OF BUILDING AS P/STATION,B000018833/57935,ALTERNATIVE VENUES NORTH WEST,15/05/2017,320
EXTERNAL ELECTIONS 2017,HIRE OF POLLING STATIONS,HIRE OF 100M FOR P/STATION LCC,B000018833/57935,ALTERNATIVE VENUES NORTH WEST,15/05/2017,370
DEVELOPMENT CONTROL B.U.,ADVERTISING GENERAL,PRESS NOTICE,B000018836/55711,TRINITY MIRROR PUBLISHING LTD,15/05/2017,388.8
EXTERNAL ELECTIONS 2017,PRINTING,LCC17 LARGE BALLOT PAPERS,B000018833/54880,PRINT IMAGE FACILITIES LLP,15/05/2017,392
REFERENDUM,HIRE OF POLLING STATIONS,TOILET HIRE FOR PARL 2017,B000018833/58892,PORTABLE TOILET COMPANY,15/05/2017,460
CORPORATE PROPERTY,GENERAL REPAIR & MAINT BLDGS,RUBBISH REMOVAL,B000018833/1248,DUNCAN CAMPBELL,15/05/2017,480
WOODNOOK STRATEGIC ACQUISITION,CONTRACTOR OTHER,CLEAR YARD,B000018836/1248,DUNCAN CAMPBELL,15/05/2017,500
EXTERNAL ELECTIONS 2017,PRINTING,CNL'S LCC17,B000018833/54880,PRINT IMAGE FACILITIES LLP,15/05/2017,688
UNDERSPENDS,MATERIALS-MISC,RECLAIMED STONE,B000018835/8826,CONNOLLY RECYCLING SOLUTIONS LTD,15/05/2017,715
FACILITIES TEAM,AGENCY STAFF,M GEE W/E 7.5.17,B000018835/55150,VENN GROUP LIMITED,15/05/2017,730
CUSTOMER SERVICES,AGENCY STAFF,STAFF,B000018833/46341,MORGAN HUNT UK LTD,15/05/2017,741.6
GYPSY SITE,GENERAL REPAIR & MAINT BLDGS,WHINNEY HILL GYPSY SITE PITCH,B000018833/30178,B3P SERVICES LTD,15/05/2017,863.7
EXTERNAL ELECTIONS 2017,ELECTION FEES-COUNTING VOTES,GRASS SKIRTS LCC17 COUNT,B000018833/54880,PRINT IMAGE FACILITIES LLP,15/05/2017,1150
ACCOUNTANCY,GENERAL SUBSCRIPTIONS,T/S ONLINE 17/18,B000018835/44171,CIPFA BUSINES LIMITED,15/05/2017,1500
GREEN INFRASTRUCTURE,WOODNOOK ROTHWELL,MILLER FOLD DRAINAGE WORKS,B000018835/38733,MARCHBRIDGE BUILDERS LTD,15/05/2017,1655.44
GENERAL MAINTENANCE,WORK DONE DLO-HIGHWAYS,PEEL PARK CULVERT,B000018835/58050,PAUL WALSH GROUNDWORK & PLANT HIRE,15/05/2017,1800
EXTERNAL ELECTIONS 2017,ELECTION FEES-POSTAL BALLOT,RETURN POSTAGE LC17 P VOTES,B000018833/51517,ROYAL MAIL GROUP LTD,15/05/2017,2623.81
EXTERNAL ELECTIONS 2017,HIRE OF POLLING STATIONS,MOBILE UNIT HIRE LCC17,B000018833/7247,PORTAKABIN LTD,15/05/2017,2995
AFFORDABLE WARMTH GRANT,CONTRACTOR OTHER,GRANT,B000018833/59736,FIREFLY ENERGI LTD,15/05/2017,3109.7
EXTERNAL ELECTIONS 2017,PRINTING,LCC 17 BALLOT PAPERS,B000018833/54880,PRINT IMAGE FACILITIES LLP,15/05/2017,3266.49
INSURANCES,EXCESS PAYMENTS,INSURANCE EXCESS,B000018836/55285,TRAVELLERS INSURANCE,15/05/2017,4920.46
ACC TC CCTV,EQUIPMNT REPAIR & MAINT,MOVING CCTV EQUIP FROM POLICE,B000018836/49037,BLACKBURN WITH DARWEN BOROUGH COUNCIL,15/05/2017,10000
LEISURE IN HYNDBURN,LEISURE TRUST MANAGEMENT FEE,MAN FEE MAY 17,B000018835/29112,HYNDBURN LEISURE,15/05/2017,12083.33
VEHICLE MAINT SUPERVISION,MATERIALS-STOCK ISSUES,ANTI ROLL BAR DROP LINKS,B000018842/1918,HYDRAIR,17/05/2017,277.6
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,SPRING BRAKE,B000018842/1918,HYDRAIR,17/05/2017,314.1
VEHICLE MAINT SUPERVISION,IMPLEMENTS & TOOLS,MIG WIRE SKULL HELMET,B000018842/8459,EXPRESS CUTTING & WELDING SERVICES LTD,17/05/2017,375.5
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,LINER SET,B000018842/59283,STEELPRO LTD,17/05/2017,376
HUMAN RESOURCES,OTHER FEES,DBS,B000018839/54847,DISCLOSURE & BARRING SERVICE,17/05/2017,396
ACCRINGTON MARKET,YARD CLEANING,REFUSE REMOVAL WE 6.5.17,B000018840/8287,TRIPLE C SKIPS,17/05/2017,480
PUBLIC TRANSPORT,CLEANING,BUS SHELTER CLEAN,B000018840/27106,ATKINSON CLEANING SERVICES LIMITED,17/05/2017,530.25
STRATEGIC HOUSING DEPARTMENT,FEES-ANALYSTS & CONSULTANTS,GROWTH LANCS GRAPHICS,B000018839/45173,BURNLEY BOROUGH COUNCIL,17/05/2017,536.67
UNDERSPENDS,COMPUTER RENTAL & MAINT,SUPPORT & MAINT,B000018840/35967,NORTHGATE PUBLIC SERVICES (UK) LTD,17/05/2017,850
UNDERSPENDS,COMPUTER RENTAL & MAINT,WEBPAY SUPPORT AND MAINT,B000018840/35967,NORTHGATE PUBLIC SERVICES (UK) LTD,17/05/2017,850
HUMAN RESOURCES,OTHER FEES,DBS APR 17,B000018839/54847,DISCLOSURE & BARRING SERVICE,17/05/2017,1082
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,TYRES,B000018842/29877,ROSSENDALE VULCANISING (SALES LTD),17/05/2017,1747
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000018839/59742,A G ROOFING & BUILDING LTD,17/05/2017,2571.54
UNDERSPENDS,MARKETING COMMUNICATIONS,PARTNERSHIP AGREEMENT,B000018839/54892,MARKETING LANCASHIRE LTD,17/05/2017,3300
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000018840/47956,BRYAN LEE BULDING CONTRACTORS,17/05/2017,4098.09
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000018840/48969,SPAIN BUILDING & MAINTENANCE LTD,17/05/2017,4395
HOUSING BENEFIT ADMINISTRATION,COMPUTER RENTAL & MAINT,LA DATA SHARING,B000018840/783,CAPITA BUSINESS SERVICES LTD,17/05/2017,7081.65
SOFT PLAY AREA,CONTRACTOR OTHER,NEW CAFE HYND LEISURE,B000018839/37017,PILKINGTON BROS (CHURCH) LTD,17/05/2017,30000
SOFT PLAY AREA,CONTRACTOR OTHER,CAFE HYND LEISURE,B000018839/37017,PILKINGTON BROS (CHURCH) LTD,17/05/2017,30000
SOFT PLAY AREA,CONTRACTOR OTHER,SOFT ADVENTURE PLAY EQUIP,B000018839/59564,HOUSE OF PLAY LTD,17/05/2017,119850
ACC TOWN CENTRE,T C PROMOTIONS,BANNERS FOR G-H SHOW,B000018846/59122,SIGN IT UP,22/05/2017,323
ACCRINGTON MARKET,YARD CLEANING,REFUSE REMOVAL W/E 29.4.17,B000018846/8287,TRIPLE C SKIPS,22/05/2017,480
ACCRINGTON MARKET,ASSET MAINT R&M,SUPPLY UNDERSINK WATER HEATER,B000018846/50717,HIGH EFFICIENCY LTD,22/05/2017,585
ACCRINGTON MARKET,GENERAL REPAIR & MAINT BLDGS,HYGIENE UNITS 6.4.17-5.4.18,B000018846/7750,SHORROCK TRICHEM,22/05/2017,623.56
HUMAN RESOURCES,OTHER FEES,DBS MARCH 17,B000018846/54847,DISCLOSURE & BARRING SERVICE,22/05/2017,880
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF W/E 14.5.17,B000018846/46341,MORGAN HUNT UK LTD,22/05/2017,914.64
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,PARTS,B000018848/8014,TERBERG MATTEC UK LTD,22/05/2017,964.14
VEHICLE MAINT SUPERVISION,IMPLEMENTS & TOOLS,REPAIR TO LIFT,B000018848/58111,MRB WORKSHOP SERVICES,22/05/2017,1587
ACCRINGTON MARKET,ASSET MAINT R&M,SUPPLY WASH HAND BASIN AND WAT,B000018846/50717,HIGH EFFICIENCY LTD,22/05/2017,1875
ENVIRONMENTAL PROTECTION TEAM,NIGHTIME NOISE INITIATIVE,CONT TO NIGHT TIME NOISE SERVI,B000018846/552,BLACKBURN WITH DARWEN BOROUGH COUNCIL,22/05/2017,4308
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000018845/25868,HYNDBURN PLUMBING & HEATING SERVICES,22/05/2017,4547
ACC TC CCTV,PRIVATE CONTRACTORS WORK,CCTV MONITORING - MARCH 17,B000018846/552,BLACKBURN WITH DARWEN BOROUGH COUNCIL,22/05/2017,4672.84
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000018845/48969,SPAIN BUILDING & MAINTENANCE LTD,22/05/2017,5305
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000018845/25868,HYNDBURN PLUMBING & HEATING SERVICES,22/05/2017,8705
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000018845/52883,POLLOCK LIFTS,22/05/2017,12495
LEISURE IN HYNDBURN,RENT AND HIRE OF PREMISES,NORDEN DUAL USE 2016/2017,B000018846/6940,NORDEN HIGH SCHOOL & SPORTS COLLEGE,22/05/2017,34326.99
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY STAFF W/E 07/05/2017,B000018851/19414,HEADS RECRUITMENT LIMITED,23/05/2017,307.83
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF W/E 07/05/2017,B000018851/19414,HEADS RECRUITMENT LIMITED,23/05/2017,322.94
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF W/E 23/04/2017,B000018851/19414,HEADS RECRUITMENT LIMITED,23/05/2017,322.94
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY STAFF W/E 23/04/2017,B000018851/19414,HEADS RECRUITMENT LIMITED,23/05/2017,338.21
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY STAFF W/E 07/05/2017,B000018851/19414,HEADS RECRUITMENT LIMITED,23/05/2017,338.21
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF W/E 14/05/2017,B000018851/19414,HEADS RECRUITMENT LIMITED,23/05/2017,403.67
HEALTH GENERAL SERVICES,COMPUTER RENTAL & MAINT,YEARLY SUPPORT LICENSE,B000018851/1639,GGP SYSTEMS LTD,23/05/2017,436.51
WILLOWS LANE DEPOT,SECURITY SYSTEM MAINTENANCE,RELOCATING KELIO CLOCK MACHINE,B000018851/23402,AUTO TIME SYSTEMS NORTHERN,23/05/2017,495
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF W/E 30/04/2017,B000018851/19414,HEADS RECRUITMENT LIMITED,23/05/2017,510.2
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF W/E 07/05/2017,B000018851/19414,HEADS RECRUITMENT LIMITED,23/05/2017,725.2
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF W/E 23/04/2017,B000018851/19414,HEADS RECRUITMENT LIMITED,23/05/2017,725.2
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF W/E 14/05/2017,B000018851/19414,HEADS RECRUITMENT LIMITED,23/05/2017,850.98
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF W/E 07/05/2017,B000018851/55740,RAPID RECRUITMENT LTD,23/05/2017,2105.4
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF W/E 12/03/2017,B000018851/55740,RAPID RECRUITMENT LTD,23/05/2017,2527.16
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF W/E 05.03.2017,B000018851/55740,RAPID RECRUITMENT LTD,23/05/2017,2637.73
INSURANCES,PREMIUMS PAID,ENGINEERS TOOLS INSURANCE,B000018852/1287,ZURICH INSURANCE PLC,24/05/2017,484.19
ADMINISTRATION SERVICES,EQUIPMNT REPAIR & MAINT,CANON - 9.217-8.5.17,B000018852/781,CANON (UK) LTD,24/05/2017,553.69
ACCRINGTON CREMATORIUM,REPAIR & MAINT CREMATOR,SITE VISIT DATA LOGGER PROBLEM,B000018853/8652,THE PHOENIX PARTNERSHIP,24/05/2017,574.6
