Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
HEALTH FOOD & SAFETY,AGENCY STAFF,AGENCY STAFF ,B000019047/58023,BUCKINGHAM FUTURES LTD,06/09/2017,261.10
TECH. REFRESH (ANNUAL REPLACEM,EQUIPMENT,10 CARE PACKS,B000019048/1106,B T BUSINESS DIRECT,06/09/2017,315.24
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 20.8.17,B000019049/55150,VENN GROUP LIMITED,06/09/2017,370.50
LAND CHARGES,LAND CHARGES,LAND CHARGES - AUG 17,B000019049/2496,LANCASHIRE COUNTY COUNCIL,06/09/2017,372.00
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 6.8.17,B000019049/55150,VENN GROUP LIMITED,06/09/2017,385.58
TIPPING CHARGES,HIRED VEHICLE,WASTE DISPOSAL CHARGE FROM WIL,B000019047/7871,STANLEY BROS TIPPERS LTD,06/09/2017,390.00
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF ,B000019047/19414,HEADS RECRUITMENT LIMITED,06/09/2017,403.67
ACCRINGTON MARKET,WATER CHARGES,5.5.17-1.8.17 - PUBLIC CONVENI,B000019049/8325,WATER PLUS LTD,06/09/2017,411.44
ENVIRONMENTAL PROTECTION TEAM,AIR QUALITY REVIEW,SERVICE OF WARRANT,B000019050/59995,DCBL,06/09/2017,495.00
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF ,B000019047/19414,HEADS RECRUITMENT LIMITED,06/09/2017,514.08
HEALTH FOOD & SAFETY,AGENCY STAFF,AGENCY STAFF WK  27.08.17 ,B000019047/58023,BUCKINGHAM FUTURES LTD,06/09/2017,559.50
HEALTH FOOD & SAFETY,AGENCY STAFF,AGENCY STAFF WK  6.08.17  ,B000019047/58023,BUCKINGHAM FUTURES LTD,06/09/2017,578.15
HEALTH FOOD & SAFETY,AGENCY STAFF,AGENCY STAFF WK  27.08.17 ,B000019047/58023,BUCKINGHAM FUTURES LTD,06/09/2017,615.45
FOOD GROWING PROJECT,EQUIPMENT,CHIPPER SHREDDER,B000019049/60031,JEFF SCALES,06/09/2017,659.99
ACCRINGTON MARKET,ELECTRICITY,CELLAR 9 13.5.17-17.8.17,B000019049/43682,SCOTTISH POWER,06/09/2017,774.19
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY STAFF  ,B000019047/19414,HEADS RECRUITMENT LIMITED,06/09/2017,850.98
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF  WK 20.08.17,B000019047/19414,HEADS RECRUITMENT LIMITED,06/09/2017,850.98
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF   WK 27.08.17,B000019047/19414,HEADS RECRUITMENT LIMITED,06/09/2017,850.98
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY STAFF  WK 27.08.17  L.W,B000019047/19414,HEADS RECRUITMENT LIMITED,06/09/2017,850.98
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 13.8.17,B000019049/55150,VENN GROUP LIMITED,06/09/2017,953.68
WOODNOOK STRATEGIC ACQUISITION,SECURING PREMISES,SECURITY - AUGUST,B000019049/48843,CLEARWAY ENV SERVICES (UK) LTD,06/09/2017,1057.00
STREET NAMEPLATES GEN,WORK DONE DLO-HIGHWAYS,STREET NAME PLATES,B000019049/24038,G & G SIGNS,06/09/2017,1144.50
CUSTOMER SERVICES,BPR/CONTACT CENTRE,LV ANNUAL SUPPORT,B000019049/58238,LIQUID VOICE MAINTENANCE LTD,06/09/2017,1322.67
HEALTH FOOD & SAFETY,AGENCY STAFF,AGENCY COVER FOR WK  13.8.17,B000019047/58023,BUCKINGHAM FUTURES LTD,06/09/2017,1342.80
HEALTH FOOD & SAFETY,AGENCY STAFF,AGENCY STAFF ,B000019047/58023,BUCKINGHAM FUTURES LTD,06/09/2017,1492.00
COMPUTER SERVICES,PRINTER/ COPIER RENTAL & MAINT,4.5.17-3.8.17,B000019049/31105,KONICA MINOLTA B S EAST LTD,06/09/2017,1530.67
COMPUTER SERVICES,RENTAL & MAINT SOFTWARE MISC,AN NUAL SUPPORT WATCHGUARD,B000019049/29231,SEC-1 LIMITED,06/09/2017,2145.96
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF ,B000019047/55740,RAPID RECRUITMENT LTD,06/09/2017,3398.40
STREET NAMEPLATES GEN,WORK DONE DLO-HIGHWAYS,STREET SIGNS,B000019048/24038,G & G SIGNS,06/09/2017,3772.50
RECYCLING COLLECTION,CANS PLASTICS 50% INCOME LCC,QT1 LOI 2017/18,B000019047/2506,LANCASHIRE COUNTY COUNCIL,06/09/2017,4485.03
ACCRINGTON CREMATORIUM,REPAIR & MAINT CREMATOR,SPARE THERMOCOUPLES FOR CREMAT,B000019053/8652,THE PHOENIX PARTNERSHIP,07/09/2017,610.00
REFUSE COLLECTION,HIRED VEHICLE,HIRE OF 1 X RCV 1 WK RENTAL FR,B000019053/19189,RIVERSIDE TRUCK RENTAL LTD,07/09/2017,950.00
ACCRINGTON CREMATORIUM,REPAIR & MAINT CREMATOR,UNDERTAKE REPAIRS TO CREMATORS,B000019053/8652,THE PHOENIX PARTNERSHIP,07/09/2017,10350.00
RHYDDINGS PARK LOTTERY,MISCELLANEOUS,INTERIM PAYMENT 4,B000019053/58933,HORTICON LTD,07/09/2017,36843.47
HAWORTH ART GALLERY,EQUIPMENT-RESALE,GOODS FOR RE SALE IN SHOP,B000019055/17125,OMICWAYS LTD,11/09/2017,299.97
TIPPING CHARGES,HIRED VEHICLE,WILLOWS LANE WASTE BAY COLLECT,B000019054/7871,STANLEY BROS TIPPERS LTD,11/09/2017,390.00
HEALTH FOOD & SAFETY,AGENCY STAFF,AGENCY COVER ,B000019054/58023,BUCKINGHAM FUTURES LTD,11/09/2017,671.40
CUSTOMER SERVICES,AGENCY STAFF,AGENCY STAFF,B000019057/46341,MORGAN HUNT UK LTD,11/09/2017,741.60
BULLOUGH PARK PLAYGROUND,CONTRACTOR OTHER,RETENTION RELEASE BULLOUGH PAR,B000019054/58933,HORTICON LTD,11/09/2017,748.49
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,REMOVAL OF LARGE REDWOOD TREE ,B000019054/57700,MASTER GROUND SERVICES,11/09/2017,770.00
CUSTOMER SERVICES,AGENCY STAFF,AGENCY STAFF,B000019055/46341,MORGAN HUNT UK LTD,11/09/2017,914.64
302 BURNLEY RD ACCRINGTON,MISCELLANEOUS,FREEHOLD REVERSION 302 BURNLEY,B000019057/60044,MORGOED ESTATE LTD,11/09/2017,1200.00
LEISURE IN HYNDBURN,LEISURE TRUST MANAGEMENT FEE,CLAYTON CIVIC 1 - 31.8.17,B000019055/29112,HYNDBURN LEISURE,11/09/2017,1600.00
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF ,B000019054/55740,RAPID RECRUITMENT LTD,11/09/2017,2116.34
INSURANCES,BROKERS FEES,BROKER FEES ENV WARRANTIES,B000019055/37773,MARSH LTD,11/09/2017,15000.00
INSURANCES,PREMIUMS PAID,ENV WARRANTIES INS,B000019055/37773,MARSH LTD,11/09/2017,162952.16
ACCRINGTON MARKET,CLEANING MATERIALS,OPTION HYGIENE,B000019060/7033,OPTION HYGIENE,12/09/2017,352.46
ACCRINGTON MARKET,DISPOSAL UNIT RENTAL,CANNON,B000019060/58036,CANNON,12/09/2017,632.58
FACILITIES TEAM,AGENCY STAFF,W/E 03.09.17 STAFF,B000019059/55150,VENN GROUP LIMITED,12/09/2017,781.25
REGISTRATION OF ELECTORS,CANVASS,CANVASS 2017 RETURN POSTAGE,B000019059/51517,ROYAL MAIL GROUP LTD,12/09/2017,1238.95
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,"DFG 10383  44 HERMITAGE ST, RI",B000019059/7874,STANNAH LIFT SERVICES LIMITED,12/09/2017,2214.00
IDOX SOFTWARE,SOFTWARE,PA UPGRADE TO 3.0,B000019059/32441,IDOX SOFTWARE LTD,12/09/2017,2250.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,PRISM MEDICAL UK,B000019060/51317,PRISM MEDICAL UK,12/09/2017,2769.57
ACCRINGTON MARKET,YARD CLEANING,BLACKBURN SKIPS LIMITED,B000019060/59730,BLACKBURN SKIPS LIMITED,12/09/2017,3315.00
REGISTRATION OF ELECTORS,CANVASS,CANVASS 2017 INITIAL FORMS,B000019059/44031,PRINT IMAGE NETWORK LTD,12/09/2017,5245.52
VEHICLE MAINT SUPERVISION,EQUIPMNT REPAIR & MAINT,MATERIALS,B000019063/58111,MRB WORKSHOP SERVICES,15/09/2017,272.14
STREET CLEANSING,AGENCY STAFF,AGENCY COVER CLEANSING WK 03.0,B000019062/19414,HEADS RECRUITMENT LIMITED,15/09/2017,322.94
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,PARTS,B000019063/1640,GIBSONS GARDEN MACHINERY LTD,15/09/2017,461.13
