Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
P & C G,ADMIN,BOLT CUTTERS,P-CARD APR 18,THANET TOOL SUPPLIES,20/03/2018,358.74
P & C G,ADMIN,TRAINING,P-CARD APR 18,LANCASTER UNIVERSITY,27/03/2018,640.00
OFF STREET PARKING,RATES,CAR PARK ST LAWRENCE ST,B000019431/1937,HYNDBURN BOROUGH COUNCIL,04/04/2018,259.20
ADMINISTRATION SERVICES,CLEANING MATERIALS,CLEANING MATERIALS,B000019430/7033,OPTION HYGIENE,04/04/2018,288.56
OFF STREET PARKING,RATES,CAR PARK STONEBIRDGE,B000019432/1937,HYNDBURN BOROUGH COUNCIL,04/04/2018,321.60
ACC TOWN HALL,RATES,MAYORS OFFICE,B000019430/1937,HYNDBURN BOROUGH COUNCIL,04/04/2018,360.00
OFF STREET PARKING,RATES,CAR PARK WARD ST,B000019431/1937,HYNDBURN BOROUGH COUNCIL,04/04/2018,360.00
OFF STREET PARKING,RATES,CAR PRK ADJ 549 MANCHESTER RD,B000019432/1937,HYNDBURN BOROUGH COUNCIL,04/04/2018,374.40
OFF STREET PARKING,RATES,CAR PARK UNION RD OSE,B000019432/1937,HYNDBURN BOROUGH COUNCIL,04/04/2018,393.60
PARKS & OPEN SPACES,RATES,BOWLING GREEN PARKER STREET RATES,B000019430/1937,HYNDBURN BOROUGH COUNCIL,04/04/2018,403.20
OFF STREET PARKING,RATES,CAR PARK MERCER ST GT HAR,B000019431/1937,HYNDBURN BOROUGH COUNCIL,04/04/2018,432.00
OFF STREET PARKING,RATES,BACK MONARCH CCAR PARK,B000019431/1937,HYNDBURN BOROUGH COUNCIL,04/04/2018,432.00
PUBLIC TRANSPORT,CLEANING,CLEANING OF BUS SHELTERS,B000019430/27106,ATKINSON CLEANING SERVICES LIMITED,04/04/2018,530.25
SCAITCLIFFE HOUSE,RATES,CAR PARK ORMEROD ST ACC,B000019431/1937,HYNDBURN BOROUGH COUNCIL,04/04/2018,540.00
ACCOUNTANCY,AGENCY STAFF,STAFF 01.04.18,B000019432/60226,SELLICK PARTNERSHIP LTD,04/04/2018,584.20
OFF STREET PARKING,RATES,CAR PARK KAY ST,B000019432/1937,HYNDBURN BOROUGH COUNCIL,04/04/2018,612.00
OFF STREET PARKING,RATES,CAR PARK BK HOUSE ST,B000019432/1937,HYNDBURN BOROUGH COUNCIL,04/04/2018,612.00
ACCOUNTANCY,AGENCY STAFF,STAFF  25.03.18,B000019432/60226,SELLICK PARTNERSHIP LTD,04/04/2018,633.94
OFF STREET PARKING,RATES,CAR PARK SCHOOL ST,B000019432/1937,HYNDBURN BOROUGH COUNCIL,04/04/2018,804.00
OFF STREET PARKING,RATES,CAR PARK PEEL ST,B000019431/1937,HYNDBURN BOROUGH COUNCIL,04/04/2018,816.00
OFF STREET PARKING,RATES,CAR PARK WELLINGTON ST,B000019432/1937,HYNDBURN BOROUGH COUNCIL,04/04/2018,828.00
AFFORDABLE WARMTH GRANT,CONTRACTOR OTHER,BOILER REPLACEMENT,B000019430/59736,FIREFLY ENERGI LTD,04/04/2018,851.55
OFF STREET PARKING,RATES,CAR PARK DERBY ST,B000019431/1937,HYNDBURN BOROUGH COUNCIL,04/04/2018,864.00
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,AGENCY STAFF ,B000019430/33923,EDEN BROWN LTD,04/04/2018,942.50
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,AGENCY STAFF - ,B000019430/33923,EDEN BROWN LTD,04/04/2018,962.00
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,AGENCY STAFF ,B000019430/46341,MORGAN HUNT UK LTD,04/04/2018,1036.84
OFF STREET PARKING,RATES,CAR PARK ADJ POP CLUB,B000019432/1937,HYNDBURN BOROUGH COUNCIL,04/04/2018,1044.00
OFF STREET PARKING,RATES,CAR PARK BLACK ABBEY ST,B000019431/1937,HYNDBURN BOROUGH COUNCIL,04/04/2018,1440.00
OFF STREET PARKING,RATES,CAR PARK JACOB ST,B000019431/1937,HYNDBURN BOROUGH COUNCIL,04/04/2018,1536.00
OFF STREET PARKING,RATES,CAR PARK ELLISON ST,B000019431/1937,HYNDBURN BOROUGH COUNCIL,04/04/2018,1584.00
HAWORTH ART GALLERY,WEDDING EXPENDITURE,WEDDING SERVICES,B000019430/57628,S.R.S. CATERING LTD,04/04/2018,1666.67
OFF STREET PARKING,RATES,CAR PARK CURATE ST GAME ST,B000019431/1937,HYNDBURN BOROUGH COUNCIL,04/04/2018,1680.00
OFF STREET PARKING,RATES,CAR PARK CROSS ST,B000019431/1937,HYNDBURN BOROUGH COUNCIL,04/04/2018,1728.00
OFF STREET PARKING,RATES,CAR PARK HOLGATE ST,B000019431/1937,HYNDBURN BOROUGH COUNCIL,04/04/2018,1800.00
OFF STREET PARKING,RATES,CAR PARK GRANGE LANE,B000019431/1937,HYNDBURN BOROUGH COUNCIL,04/04/2018,2208.00
OFF STREET PARKING,RATES,CARPARK PARADISE ST,B000019431/1937,HYNDBURN BOROUGH COUNCIL,04/04/2018,3360.00
OFF STREET PARKING,RATES,CAR PARK KING ST ACC,B000019431/1937,HYNDBURN BOROUGH COUNCIL,04/04/2018,3648.00
LEGAL SERVICES,PUBLICATIONS & PERIODICALS,EF & P - LEXIS NEXIS,B000019430/22900,LEXIS NEXIS,04/04/2018,3850.00
OFF STREET PARKING,RATES,CAR PARK PLANTATION ST,B000019432/1937,HYNDBURN BOROUGH COUNCIL,04/04/2018,4128.00
HYNDBURN CEMETERIES,RATES,CEMETERY - GREAT HARWOOD,B000019430/1937,HYNDBURN BOROUGH COUNCIL,04/04/2018,4362.09
OFF STREET PARKING,RATES,CAR PARK EASTGATE,B000019432/1937,HYNDBURN BOROUGH COUNCIL,04/04/2018,4704.00
ACCRINGTON MARKET,RATES,PEEL STREET TOILETS RATES,B000019430/1937,HYNDBURN BOROUGH COUNCIL,04/04/2018,5280.00
OFF STREET PARKING,RATES,CAR PARK BARNES ST,B000019431/1937,HYNDBURN BOROUGH COUNCIL,04/04/2018,5280.00
OFF STREET PARKING,RATES,CAR PARK OAK ST,B000019431/1937,HYNDBURN BOROUGH COUNCIL,04/04/2018,7320.00
ACC TOWN HALL,RATES,TOWN HALL RATES,B000019430/1937,HYNDBURN BOROUGH COUNCIL,04/04/2018,8160.00
HYNDBURN CEMETERIES,RATES,CEMETERY - DILL HALL RATES,B000019430/1937,HYNDBURN BOROUGH COUNCIL,04/04/2018,15963.81
ACCRINGTON MARKET,RATES,ACCRINGTON MARKET RATES,B000019430/1937,HYNDBURN BOROUGH COUNCIL,04/04/2018,28190.90
HOUSING ADVICE,GRANTS,DCLG SERV DELIVERY,B000019432/35258,HARV DOMESTIC VIOLENCE TEAM,04/04/2018,42634.36
SCAITCLIFFE HOUSE,RATES,SCAITCLIFFE HOUSE RATES,B000019430/1937,HYNDBURN BOROUGH COUNCIL,04/04/2018,85066.72
P & C G,IT,IMPORT LICENCE,P-CARD APR 18,INAPEX INC,04/04/2018,700.92
HAWORTH ART GALLERY,OTHER FEES,SALES - MAR 18,B000019440/44180,STEPHEN WARNES,09/04/2018,252.80
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF  WK 31.12.17 2X OPERATIVES,B000019441/19414,HEADS RECRUITMENT LIMITED,09/04/2018,268.56
DEVELOPMENT CONTROL B.U.,ADVERTISING GENERAL,PL00866-SERVICE-Press Notice. NG,B000019439/59724,TMP (UK) TLD,09/04/2018,354.00
HAWORTH ART GALLERY,ADVERTISING GENERAL,RENEWAL FOR VISIT LANCS - APR 18 - MAR 19,B000019437/54892,MARKETING LANCASHIRE LTD,09/04/2018,412.00
ACCRINGTON MARKET,GENERAL SUBSCRIPTIONS,SUBS 18/19,B000019437/8811,NABMA,09/04/2018,636.00
DEV CONTROL,FEES-ANALYSTS & CONSULTANTS,SERVICE LEV4EL AGREEMENT - 17/18,B000019442/59953,LANCS ARCHAEOLOGICAL ADVISORY SERV,09/04/2018,656.25
HUMAN RESOURCES,TRAINING EXPENSES,SCRUTINY TRAINING,B000019440/28575,UNIVERSITY OF BIRMINGHAM,09/04/2018,679.05
Corporate Property Bus Unit,AGENCY STAFF,TEMP STAFF W/E 19.3.18,B000019438/58852,OYSTER PARTNERSHIP,09/04/2018,756.81
SADLER ST IND EST-GEN,UNIT SERV CHARGE OTHER WKS,REMOVE AL RUBBISH,B000019438/1248,DUNCAN CAMPBELL,09/04/2018,800.00
INTERNAL AUDIT,PUBLICATIONS & PERIODICALS,NAFN SUBS 18/19,B000019437/58700,TAMESIDE MBC,09/04/2018,1050.00
GREEN INFRASTRUCTURE,GENERAL GROUNDS MAINTENANCE,PL00878-SERVICE-Trees. Oakhill Park. AH,B000019439/52718,ALBA TREES PLC,09/04/2018,1216.60
