Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
ENVIRONMENTAL SERVICES,ENV HEALTH,SEMINAR,P-CARD - AUG 19,EPCOLLEGE,43658,910
P & C G,CENTRAL ADMIN,STATIONERY,P-CARD - AUG 19,OFFICE DEPOT,43659,502.44
P & C G,CENTRAL ADMIN,MACBOOK,P-CARD - AUG 19,APPLE.COM,43667,1349
ENVIRONMENTAL SERVICES,PEST CONTROL,CONFERENCE,P-CARD - AUG 19,IOF NORTH WEST,43675,296.55
ENVIRONMENTAL SERVICES,PEST CONTROL,"7"" TABLET",P-CARD - AUG 19,AMAZON,43676,254.55
ACCRINGTON TOWN CENTRE,COMPUTER SERVICES,WORK TO BE CARRIED OUT AT WILLOWS LANE,B000020329/7968,T I S LTD,43682,420
GENERAL EXPENSES,CABINET ACTION FUND,CONTRIBUTION TO ARMED FORCES DAY,B000020328/61838,HUNTERS PUB MANAGEMENT LTD,43682,500
MARKETS - OPERATIONS,WATER CHARGES,MARKET - 16.6.19-15.7.19,B000020330/8325,WATER PLUS LTD,43682,615.82
SYRIAN RESETTLEMENT PROGRAMME,VENUES AND OTHER EXPENSES,USE OF MEETING ROOM,B000020328/24254,ADVENTURE HYNDBURN,43682,630
DFG Affordable Warmth Grant,CONTRACTOR OTHER,NEW HEATING SYSTEM ,B000020328/35745,AGS HEATING & PLUMBING LTD,43682,670
ACC TOWN HALL,CLEANING OF BUILDINGS,CLEANING SERVICES- JULY 19,B000020330/29112,HYNDBURN LEISURE,43682,936
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 28.7.18,B000020330/33923,EDEN BROWN LTD,43682,1003.28
MARKETS - OPERATIONS,YARD CLEANING,WASTE REMOVAL - JULY 19,B000020330/59730,BLACKBURN SKIPS LIMITED,43682,1182
Corporate Property Bus Unit,AGENCY STAFF,TEMP STAFF W/E 22.7.19,B000020330/58852,OYSTER PARTNERSHIP,43682,1215.72
UNDERSPENDS,BARRISTERS FEES,FRONTIER PARK ADVICE,B000020328/61603,MR JONATHON EASTON,43682,1500
HAWORTH ART GALLERY,WEDDING EXPENDITURE,SUPPLY OF WEDDING BREAKFASTS,B000020328/57628,S.R.S. CATERING LTD,43682,3333.34
COMPUTER SERVICES,TRAINING EXPENSES,QA TRAINING - SECURITY MANAGE PRINCIPLES,B000020329/36097,Q A LIMITED,43682,4535.24
BUILDING CONTROL B.U.,AGENCY STAFF,TEMP STAFF  -  JUN 2019,B000020328/55748,URBAN VISION PARTNERSHIP LTD,43682,5505.99
COMPUTER SERVICES,RENTAL & MAINT SOFTWARE MISC, 6 LICENCES AND SUPPORT,B000020329/42067,XICON LIMITED,43682,6502.86
TECH. REFRESH (ANNUAL REPLACEM,EQUIPMENT,25 x HP PCs WITH 3 YEAR SUPPORT,B000020329/1106,B T BUSINESS DIRECT,43682,10832.75
LICENSING,OTHER FEES,DBS CHECKS JULY 2019,B000020332/54847,DISCLOSURE & BARRING SERVICE,43683,396
TECH. REFRESH (ANNUAL REPLACEM,EQUIPMENT,"4 X 20"" MONITORS",B000020332/52932,INSIGHT DIRECT (UK) LTD,43683,416
PARKS & OPEN SPACES,ASSET MAINT R&M,MEMORIAL PARK NEW COIL IN SHOWER,B000020332/59248,LANCASHIRE GAS SERVICES,43683,1008.75
SCAITCLIFFE HOUSE,ASSET MAINT R&M,SCAITCLIFFE REMEDIAL WORKS,B000020332/60080,BEST,43683,1051
CREMATOR PURCHASE,CONTRACTOR OTHER,ACC CREM FIRE ALARM UPGRADE,B000020332/61283,EMERGENCY SYSTEMS LTD,43683,1182
STRATEGIC HOUSING DEPARTMENT,LEGAL FEES,EMPLOYMENT TRIBUNAL,B000020332/26004,FORBES SOLICITORS,43683,1226.5
LEISURE IN HYNDBURN,LIH R&M,LEISURE CENTRE REMEDIAL WORKS,B000020332/60080,BEST,43683,1671
Asbestos removal various sites,CONTRACTOR OTHER,HAWORTH ART  ASBESTOS REMOVAL,B000020332/40686,ASSIST FACILITIES MANAGEMENT,43683,3375
ACC TOWN HALL IMPROVEMENTS,CONTRACTOR OTHER,TOWN HALL PH 4 VAL 3,B000020332/7524,ROSS LEE CONSTRUCTION LTD,43683,27590.06
TECH. REFRESH (ANNUAL REPLACEM,EQUIPMENT,25 CARE PACKS,B000020337/1106,B T BUSINESS DIRECT,43684,269.75
MILNSHAW PARK PLAY AREA,CONTRACTOR OTHER,POST INSTALLATION INSPECTION,B000020335/61071,MORRAL PLAY SERVICES LTD,43684,295
PARKS & OPEN SPACES,PLAYGROUND REPAIRS,PARTS FOR TRAMPOLINE ,B000020335/30689,SUTCLIFFE PLAY LTD,43684,350.12
GREEN INFRASTRUCTURE,GENERAL GROUNDS MAINTENANCE,"TREE WORK AT BATH STREET, ACC",B000020337/22189,ROY CATTERMOLE (TREE SURGEON),43684,380
COMPUTER SERVICES,TELEPHONES,ONE OFF TRANSFER FEE,B000020337/46800,ADEPT4 MANAGED IT LIMITED,43684,434.63
LICENSING,TRAINING EXPENSES,TAXI TRAINING 9.7.19,B000020337/47283,INSTITUTE OF LICENSING,43684,520
Replacement Boilers various,CONTRACTOR OTHER,REPAIR LEAKS - H.A.G,B000020337/59248,LANCASHIRE GAS SERVICES,43684,520.03
MARKETS - OPERATIONS,YARD CLEANING,WASTE DISPOSAL - JULY 19,B000020337/59730,BLACKBURN SKIPS LIMITED,43684,591
